Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,CHC,NL,32,0,0,6.00,7,0,0,6.0,10,7,4,3,5,6,2.50
2013,CHC,NL,195,1,2,2.72,49,0,1,46.1,39,17,14,4,15,55,1.17
2014,CHC,NL,91,1,1,5.14,18,0,0,21.0,24,13,12,3,4,24,1.33
2016,SEA,AL,5,0,0,0.00,1,0,0,1.0,1,0,0,0,1,0,2.00
2016,NYY,AL,74,1,0,4.96,16,0,1,16.1,16,9,9,1,8,15,1.47
2016,2 Teams,,79,1,0,4.67,17,0,1,17.1,17,9,9,1,9,15,1.50
2017,LAA,AL,254,3,3,2.54,71,0,8,67.1,40,20,19,7,16,86,0.83
2018,LAA,AL,276,2,1,3.26,67,0,14,66.1,63,24,24,12,19,70,1.24
2019,MIN,AL,157,1,2,4.21,37,0,10,36.1,34,18,17,7,16,34,1.38
2019,PHI,NL,98,2,1,5.04,23,2,0,25.0,19,14,14,6,6,31,1.00
2019,2 Teams,,255,3,3,4.55,60,2,10,61.1,53,32,31,13,22,65,1.22
2020,PHI,NL,69,3,0,2.81,14,1,0,16.0,12,7,5,2,9,25,1.31
