Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,KC,AL,87,0,1,6.75,15,0,0,18.2,23,15,14,3,8,23,1.66
2011,KC,AL,233,5,1,1.80,46,0,4,60.0,37,13,12,3,19,74,0.93
2012,KC,AL,289,7,4,2.96,67,0,16,67.0,58,22,22,2,34,91,1.37
2013,KC,AL,255,2,1,1.21,68,0,47,67.0,40,11,9,3,18,103,0.87
2014,KC,AL,240,1,3,1.44,65,0,46,62.1,37,13,10,3,20,90,0.91
2015,KC,AL,193,3,2,3.83,48,0,32,44.2,39,20,19,2,26,49,1.46
2017,COL,NL,235,3,6,3.61,61,0,41,57.1,40,24,23,7,26,70,1.15
2018,STL,NL,132,0,2,7.92,32,0,0,25.0,34,28,22,1,22,22,2.24
2018,WSH,NL,80,2,0,0.84,24,0,3,21.1,9,2,2,1,10,25,0.89
2018,2 Teams,,212,2,2,4.66,56,0,3,46.1,43,30,24,2,32,47,1.62
2019,AZ,NL,152,1,2,4.54,40,0,17,35.2,25,18,18,5,24,41,1.37
2020,KC,AL,112,3,0,1.91,28,0,6,28.1,20,8,6,1,7,31,0.95
2021,KC,AL,243,3,5,4.85,57,0,8,55.2,49,32,30,9,26,53,1.35
