Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,OAK,AL,306,5,1,1.72,67,0,23,78.1,53,17,15,3,26,72,1.01
2006,OAK,AL,290,4,4,3.31,69,0,37,70.2,64,28,26,4,13,67,1.09
2007,OAK,AL,199,5,2,2.88,48,0,16,50.0,35,20,16,5,12,63,0.94
2008,OAK,AL,287,7,5,3.73,63,0,18,70.0,58,29,29,6,27,69,1.21
2009,COL,NL,240,4,1,3.06,64,0,35,61.2,43,22,21,7,13,70,0.91
2010,COL,NL,187,4,4,3.61,44,0,20,47.1,39,21,19,5,11,45,1.06
2011,COL,NL,239,1,4,3.86,62,0,29,58.1,62,28,25,10,9,55,1.22
2012,SD,NL,144,2,1,1.85,40,0,23,39.0,17,8,8,2,11,47,0.72
2013,SD,NL,222,2,5,2.70,58,0,33,56.2,44,17,17,12,14,46,1.02
2014,SD,NL,121,1,0,1.09,33,0,24,33.0,18,4,4,3,7,34,0.76
2014,LAA,AL,108,1,2,1.71,28,0,17,26.1,24,5,5,1,7,23,1.18
2014,2 Teams,,229,2,2,1.37,61,0,41,59.1,42,9,9,4,14,57,0.94
2015,LAA,AL,255,3,3,3.18,62,0,40,62.1,52,22,22,7,20,57,1.16
2016,LAA,AL,105,3,2,6.45,26,0,9,22.1,31,16,16,5,12,14,1.93
