Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,PIT,NL,74,0,1,6.60,15,0,0,15.0,20,11,11,2,9,16,1.93
2009,PIT,NL,286,1,4,4.01,73,0,0,67.1,69,33,30,11,22,47,1.35
2010,ATL,NL,162,3,2,5.89,28,0,0,36.2,40,24,24,6,12,29,1.42
2010,KC,AL,118,2,3,5.88,23,0,0,26.0,29,20,17,5,11,16,1.54
2010,2 Teams,,280,5,5,5.89,51,0,0,62.2,69,44,41,11,23,45,1.47
2011,KC,AL,39,0,0,10.57,4,0,0,7.2,12,9,9,3,5,8,2.22
2012,TOR,AL,102,1,1,8.44,9,2,0,21.1,25,22,20,6,10,27,1.64
2012,OAK,AL,21,0,0,18.90,4,0,0,3.1,9,7,7,1,1,3,3.00
2012,2 Teams,,123,1,1,9.85,13,2,0,24.2,34,29,27,7,11,30,1.82
2013,OAK,AL,248,2,4,3.92,35,0,1,57.1,50,27,25,3,20,55,1.22
2014,OAK,AL,621,8,8,3.45,32,21,0,146.0,142,64,56,17,49,136,1.31
2015,OAK,AL,672,7,15,4.18,30,26,1,157.0,164,78,73,18,48,136,1.35
2016,TOR,AL,173,1,2,4.57,39,0,0,41.1,43,22,21,9,10,42,1.28
2016,LAD,NL,109,1,0,4.21,23,0,0,25.2,28,14,12,3,8,21,1.40
2016,2 Teams,,282,2,2,4.43,62,0,0,67.0,71,36,33,12,18,63,1.33
2017,LAA,AL,586,7,11,5.35,38,21,0,138.0,148,83,82,28,45,119,1.40
2018,TEX,AL,234,3,1,3.51,30,0,1,56.1,58,23,22,10,12,50,1.24
2018,CHC,NL,143,2,1,1.15,32,0,4,39.0,26,5,5,3,5,42,0.79
2018,2 Teams,,377,5,2,2.55,62,0,5,95.1,84,28,27,13,17,92,1.06
2019,TEX,AL,337,3,5,4.85,48,9,1,78.0,82,48,42,12,22,72,1.33
2020,TEX,AL,77,0,0,6.88,18,0,0,17.0,20,13,13,6,7,13,1.59
2021,ATL,NL,133,3,2,2.14,30,4,0,33.2,23,9,8,0,11,36,1.01
2022,CHC,NL,24,0,0,6.35,3,0,0,5.2,7,4,4,1,2,3,1.59
2022,LAA,AL,50,1,0,7.59,11,0,0,10.2,15,12,9,2,4,10,1.78
2022,ATL,NL,218,3,3,2.72,46,1,0,53.0,49,18,16,5,14,61,1.19
2022,3 Teams,,292,4,3,3.76,60,1,0,69.1,71,34,29,8,20,74,1.31
