Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,BOS,AL,148,3,1,2.65,17,3,0,34.0,33,11,10,4,17,34,1.47
2006,BOS,AL,257,4,2,0.92,59,0,35,68.1,40,8,7,3,13,75,0.78
2007,BOS,AL,224,1,3,1.85,59,0,37,58.1,30,12,12,5,15,84,0.77
2008,BOS,AL,273,5,4,2.34,67,0,41,69.1,58,24,18,4,8,77,0.95
2009,BOS,AL,285,1,1,1.85,66,0,38,68.0,54,15,14,5,24,76,1.15
2010,BOS,AL,287,5,7,3.90,65,0,37,67.0,57,34,29,7,28,76,1.27
2011,BOS,AL,255,4,1,2.94,63,0,31,64.1,50,22,21,3,10,87,0.93
2012,PHI,NL,284,5,6,2.44,70,0,38,70.0,56,22,19,8,18,92,1.06
2013,PHI,NL,254,5,1,2.92,61,0,29,61.2,59,23,20,6,11,57,1.14
2014,PHI,NL,259,2,3,2.04,66,0,39,66.1,45,15,15,2,15,63,0.90
2015,PHI,NL,161,2,1,1.59,37,0,17,39.2,31,9,7,3,8,40,0.98
2015,WSH,NL,99,2,2,3.04,22,0,7,23.2,22,13,8,4,4,16,1.10
2015,2 Teams,,260,4,3,2.13,59,0,24,63.1,53,22,15,7,12,56,1.03
