Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2015,MIL,NL,46,1,1,5.40,2,2,0,10.0,14,6,6,0,5,10,1.90
2017,MIL,NL,10,0,0,4.50,1,0,0,2.0,4,1,1,0,1,0,2.50
2018,MIL,NL,85,0,1,2.75,10,0,0,19.2,16,6,6,1,13,15,1.47
2018,KC,AL,149,2,4,6.35,7,7,0,34.0,41,24,24,5,9,23,1.47
2018,2 Teams,,234,2,5,5.03,17,7,0,53.2,57,30,30,6,22,38,1.47
2019,KC,AL,548,4,9,6.33,39,18,1,123.2,140,94,87,27,42,109,1.47
2020,KC,AL,5,0,0,27.00,1,0,0,0.2,3,2,2,0,0,0,4.50
2020,BAL,AL,169,2,2,6.34,9,6,0,38.1,43,30,27,7,12,28,1.43
2020,2 Teams,,174,2,2,6.69,10,6,0,39.0,46,32,29,7,12,28,1.49
2021,BAL,AL,555,3,14,6.07,33,25,0,121.2,142,83,82,21,56,112,1.63
2022,BAL,AL,196,4,6,1.68,44,0,19,48.1,30,15,9,3,17,54,0.97
2022,MIN,AL,102,0,1,4.37,23,0,4,22.2,23,11,11,1,14,18,1.63
2022,2 Teams,,298,4,7,2.54,67,0,23,71.0,53,26,20,4,31,72,1.18
