Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,LAA,AL,36,0,1,4.32,9,0,0,8.1,8,5,4,0,4,7,1.44
2009,LAA,AL,237,6,4,4.94,54,0,1,54.2,63,33,30,2,19,48,1.50
2010,LAA,AL,253,2,4,3.97,68,0,0,59.0,54,26,26,2,29,61,1.41
2011,LAA,AL,68,1,2,7.62,16,0,0,13.0,21,11,11,2,9,6,2.31
2012,LAA,AL,178,3,2,3.02,49,0,2,44.2,39,17,15,3,12,38,1.14
2013,LAA,AL,164,1,3,4.50,45,0,0,36.0,41,21,18,3,14,36,1.53
2014,LAA,AL,260,0,2,2.63,74,0,2,65.0,45,19,19,4,23,75,1.05
2015,TB,AL,176,2,5,2.81,46,0,5,41.2,34,15,13,4,20,34,1.30
2015,MIN,AL,109,1,1,1.61,29,0,10,28.0,18,5,5,1,7,25,0.89
2015,2 Teams,,285,3,6,2.33,75,0,15,69.2,52,20,18,5,27,59,1.13
2016,MIN,AL,141,2,5,6.16,33,0,7,30.2,42,22,21,7,12,22,1.76
2016,TB,AL,83,0,1,5.68,25,0,0,19.0,20,13,12,5,9,13,1.53
2016,2 Teams,,224,2,6,5.98,58,0,7,49.2,62,35,33,12,21,35,1.67
