Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,AZ,NL,237,0,4,3.05,16,7,0,56.0,48,24,19,5,21,66,1.23
2009,AZ,NL,741,9,11,4.12,30,30,0,170.1,166,94,78,20,63,174,1.34
2010,DET,AL,800,12,11,3.50,31,31,0,195.2,174,84,76,20,70,184,1.25
2011,DET,AL,833,15,9,4.43,33,33,0,195.0,207,101,96,29,56,174,1.35
2012,DET,AL,787,16,7,3.74,32,32,0,187.2,179,82,78,23,60,231,1.27
2013,DET,AL,836,21,3,2.90,32,32,0,214.1,152,73,69,18,56,240,0.97
2014,DET,AL,904,18,5,3.15,33,33,0,220.1,196,80,77,18,63,252,1.18
2015,WSH,NL,899,14,12,2.79,33,33,0,228.2,176,74,71,27,34,276,0.92
2016,WSH,NL,902,20,7,2.96,34,34,0,228.1,165,77,75,31,56,284,0.97
2017,WSH,NL,780,16,6,2.51,31,31,0,200.2,126,62,56,22,55,268,0.90
2018,WSH,NL,866,18,7,2.53,33,33,0,220.2,150,66,62,23,51,300,0.91
2019,WSH,NL,693,11,7,2.92,27,27,0,172.1,144,59,56,18,33,243,1.03
2020,WSH,NL,295,5,4,3.74,12,12,0,67.1,70,30,28,10,23,92,1.38
2021,WSH,NL,428,8,4,2.76,19,19,0,111.0,71,36,34,18,28,147,0.89
2021,LAD,NL,265,7,0,1.98,11,11,0,68.1,48,17,15,5,8,89,0.82
2021,2 Teams,,693,15,4,2.46,30,30,0,179.1,119,53,49,23,36,236,0.86
2022,NYM,NL,565,11,5,2.29,23,23,0,145.1,108,39,37,13,24,173,0.91
