Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2004,TB,AL,152,2,3,5.67,8,7,0,33.1,33,22,21,4,21,41,1.62
2005,TB,AL,818,10,9,3.77,32,32,0,186.0,172,90,78,12,100,174,1.46
2006,TB,AL,610,10,8,3.24,24,24,0,144.2,132,59,52,15,52,163,1.27
2007,TB,AL,887,13,9,3.48,34,34,0,206.2,196,91,80,18,89,239,1.38
2008,TB,AL,641,12,8,3.49,27,27,0,152.1,123,61,59,23,70,166,1.27
2009,TB,AL,504,8,7,5.92,20,20,0,111.0,121,77,73,15,50,91,1.54
2009,LAA,AL,143,2,2,1.73,6,6,0,36.1,28,8,7,1,10,26,1.05
2009,2 Teams,,647,10,9,4.89,26,26,0,147.1,149,85,80,16,60,117,1.42
2010,LAA,AL,682,9,15,5.94,28,28,0,150.0,158,103,99,25,79,93,1.58
2011,LAA,AL,14,0,0,27.00,1,1,0,1.2,5,5,5,1,2,0,4.20
2013,CLE,AL,672,10,9,4.04,29,29,0,158.0,162,76,71,19,47,162,1.32
2014,OAK,AL,777,15,9,3.55,32,32,0,190.1,171,81,75,16,50,164,1.16
2015,OAK,AL,440,5,5,2.38,18,18,0,109.2,84,35,29,7,35,101,1.09
2015,HOU,AL,323,2,6,4.17,13,13,0,73.1,78,42,34,13,24,54,1.39
2015,2 Teams,,763,7,11,3.10,31,31,0,183.0,162,77,63,20,59,155,1.21
2016,LAD,NL,590,10,6,4.56,26,26,0,136.1,133,71,69,21,52,134,1.36
