Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,FLA,NL,15,0,0,0.00,3,0,0,4.1,1,0,0,0,1,3,0.46
2011,FLA,NL,229,2,1,2.63,45,0,3,54.2,45,18,16,1,19,55,1.17
2012,MIA,NL,275,5,2,2.69,68,0,15,63.2,54,26,19,3,29,68,1.30
2013,MIA,NL,281,4,6,2.33,69,0,34,69.2,53,19,18,3,22,74,1.08
2014,MIA,NL,275,4,5,3.17,67,0,39,65.1,58,26,23,3,21,84,1.21
2015,MIA,NL,144,2,6,4.50,32,0,3,32.0,37,19,16,2,14,28,1.59
2015,STL,NL,99,0,0,2.31,27,0,1,23.1,18,7,6,2,13,20,1.33
2015,2 Teams,,243,2,6,3.58,59,0,4,55.1,55,26,22,4,27,48,1.48
2016,SEA,AL,258,4,6,2.81,62,0,25,64.0,44,21,20,8,21,76,1.02
2017,SEA,AL,80,1,1,3.15,23,0,1,20.0,13,7,7,3,7,15,1.00
2017,TB,AL,94,2,1,1.09,26,0,0,24.2,13,3,3,0,7,26,0.81
2017,2 Teams,,174,3,2,2.01,49,0,1,44.2,26,10,10,3,14,41,0.90
2018,CHC,NL,288,4,3,2.18,80,0,4,70.1,45,19,17,5,28,78,1.04
2019,CHC,NL,267,4,6,2.95,70,0,7,64.0,48,22,21,7,29,57,1.20
2020,CWS,AL,93,0,0,5.40,22,0,0,20.0,21,12,12,4,9,21,1.50
2021,LAA,AL,308,0,2,3.42,74,0,0,68.1,61,32,26,2,41,64,1.49
