Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1999,MON,NL,110,0,1,7.61,9,3,0,23.2,30,20,20,7,9,28,1.65
2000,NYY,AL,39,0,0,5.63,7,0,0,8.0,8,6,5,1,5,11,1.63
2001,NYY,AL,537,5,6,5.37,26,21,0,120.2,126,81,72,20,51,112,1.47
2002,NYY,AL,314,3,6,3.40,16,11,0,76.2,57,31,29,10,24,59,1.06
2002,OAK,AL,99,2,1,4.63,6,5,0,23.1,23,12,12,5,7,18,1.29
2002,2 Teams,,413,5,7,3.69,22,16,0,100.0,80,43,41,15,31,77,1.11
2003,OAK,AL,773,12,10,4.34,32,31,0,178.1,179,92,86,24,58,147,1.33
2004,TOR,AL,845,12,10,4.06,32,32,0,197.1,171,92,89,26,89,168,1.32
2005,TOR,AL,566,10,11,5.56,25,25,0,126.1,135,79,78,23,58,96,1.53
2006,TOR,AL,797,15,13,4.31,32,32,0,181.2,179,98,87,28,81,160,1.43
2007,CHC,NL,847,15,8,3.83,34,34,0,207.0,181,91,88,28,55,174,1.14
2008,CHC,NL,861,17,9,4.09,34,34,0,204.2,187,96,93,32,64,184,1.23
2009,CHC,NL,706,12,9,3.10,27,27,0,177.0,151,66,61,22,36,151,1.06
2010,CHC,NL,480,3,8,3.69,18,18,0,117.0,104,53,48,19,29,89,1.14
2010,LAD,NL,305,7,4,3.52,12,12,0,76.2,61,30,30,13,15,77,0.99
2010,2 Teams,,785,10,12,3.62,30,30,0,193.2,165,83,78,32,44,166,1.08
2011,LAD,NL,800,12,14,3.97,33,33,0,192.2,172,88,85,28,51,158,1.16
2012,LAD,NL,202,5,1,3.14,8,8,0,48.2,36,23,17,3,19,31,1.13
