Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1992,PIT,NL,373,8,1,2.15,13,13,0,92.0,76,26,22,3,35,51,1.21
1993,PIT,NL,595,6,11,5.61,24,20,0,128.1,145,83,80,14,75,59,1.71
1995,BOS,AL,804,16,8,2.95,27,27,0,195.1,163,76,64,22,68,119,1.18
1996,BOS,AL,963,14,13,5.14,32,32,0,211.2,238,151,121,38,90,140,1.55
1997,BOS,AL,866,12,15,4.25,35,29,0,201.1,193,109,95,24,87,151,1.39
1998,BOS,AL,939,17,8,4.58,36,33,0,216.0,211,123,110,30,79,146,1.34
1999,BOS,AL,635,6,11,5.08,49,17,15,140.0,146,93,79,19,72,104,1.56
2000,BOS,AL,706,6,10,5.48,51,17,0,159.1,170,107,97,31,65,102,1.47
2001,BOS,AL,732,9,12,3.90,45,17,3,168.2,156,84,73,13,73,148,1.36
2002,BOS,AL,657,11,5,2.81,45,15,3,163.1,121,57,51,15,51,134,1.05
2003,BOS,AL,872,11,7,4.09,35,33,1,202.1,193,106,92,23,71,169,1.30
2004,BOS,AL,831,12,10,4.87,32,30,0,188.1,197,121,102,29,63,116,1.38
2005,BOS,AL,943,16,12,4.15,33,33,0,225.1,210,113,104,35,68,151,1.23
2006,BOS,AL,610,7,11,4.63,23,23,0,140.0,135,80,72,19,51,90,1.33
2007,BOS,AL,800,17,12,4.76,31,31,0,189.0,191,104,100,22,64,110,1.35
2008,BOS,AL,754,10,11,4.13,30,30,0,181.0,154,89,83,25,60,117,1.18
2009,BOS,AL,572,11,5,4.58,21,21,0,129.2,137,67,66,12,50,72,1.44
2010,BOS,AL,610,4,10,5.34,32,19,0,140.0,153,92,83,19,36,84,1.35
