Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,KC,AL,396,6,9,5.32,16,16,0,89.2,111,54,53,12,33,59,1.61
2013,KC,AL,131,2,1,3.24,19,1,0,33.1,24,16,12,6,7,43,0.93
2014,MIL,NL,286,1,3,3.70,78,0,1,65.2,62,31,27,6,31,86,1.42
2015,MIL,NL,264,7,2,2.70,76,0,0,63.1,52,23,19,5,24,91,1.20
2016,MIL,NL,92,1,3,3.68,27,0,0,22.0,18,13,9,3,9,22,1.23
2016,SF,NL,75,1,1,2.95,26,0,0,18.1,13,6,6,0,9,26,1.20
2016,2 Teams,,167,2,4,3.35,53,0,0,40.1,31,19,15,3,18,48,1.21
2018,SF,NL,210,2,3,2.55,54,0,14,53.0,37,18,15,3,15,71,0.98
2019,SF,NL,257,6,0,2.76,63,0,34,65.1,46,20,20,10,21,96,1.03
2020,ATL,NL,62,2,2,4.50,18,0,0,16.0,11,8,8,7,4,18,0.94
2021,ATL,NL,283,3,7,3.44,71,0,37,68.0,49,27,26,11,28,87,1.13
2022,ATL,NL,171,0,1,4.38,41,0,5,37.0,35,25,18,7,21,41,1.51
2022,HOU,AL,90,0,2,3.27,24,0,0,22.0,23,10,8,2,4,24,1.23
2022,2 Teams,,261,0,3,3.97,65,0,5,59.0,58,35,26,9,25,65,1.41
