Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,CWS,AL,215,2,5,6.04,13,8,0,47.2,61,37,32,5,13,29,1.55
2009,CWS,AL,387,4,3,4.65,26,14,0,89.0,94,50,46,10,37,66,1.47
2009,SD,NL,276,5,2,4.08,12,12,0,64.0,60,31,29,7,34,48,1.47
2009,2 Teams,,663,9,5,4.41,38,26,0,153.0,154,81,75,17,71,114,1.47
2010,SD,NL,861,14,9,3.75,33,33,0,201.2,206,89,84,16,78,153,1.41
2011,SD,NL,427,5,9,3.88,18,18,0,99.2,104,52,43,8,38,53,1.42
2012,SD,NL,910,14,14,3.99,33,33,0,218.2,228,110,97,31,42,107,1.23
2013,SD,NL,239,2,5,7.01,12,11,0,52.2,65,44,41,13,21,24,1.63
2015,CHC,NL,181,4,2,3.83,23,3,0,42.1,47,18,18,3,7,22,1.28
2016,CHC,NL,72,0,1,6.43,25,0,1,14.0,23,14,10,0,7,7,2.14
2016,SD,NL,234,3,3,2.52,11,9,0,53.2,58,21,15,4,24,34,1.53
2016,2 Teams,,306,3,4,3.33,36,9,1,67.2,81,35,25,4,31,41,1.66
2017,SD,NL,858,8,15,4.79,32,32,0,197.1,240,114,105,24,59,151,1.52
2018,SD,NL,682,7,11,5.33,27,27,0,158.2,159,98,94,19,60,108,1.38
