Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,CLE,AL,25,0,0,8.31,3,0,0,4.1,6,4,4,0,3,5,2.08
2012,CLE,AL,281,2,5,5.14,12,12,0,63.0,76,44,36,9,18,54,1.49
2013,CLE,AL,608,11,5,3.85,26,24,0,147.1,153,67,63,15,33,136,1.26
2014,CLE,AL,951,18,9,2.44,34,34,0,235.2,207,72,64,14,51,269,1.09
2015,CLE,AL,886,9,16,3.49,32,32,0,222.0,189,92,86,22,45,245,1.05
2016,CLE,AL,860,18,9,3.14,32,32,0,215.0,170,82,75,22,57,227,1.06
2017,CLE,AL,777,18,4,2.25,29,29,0,203.2,141,56,51,21,36,265,0.87
2018,CLE,AL,842,20,7,2.89,33,33,0,215.0,179,75,69,25,34,222,0.99
2019,CLE,AL,168,2,3,5.80,7,7,0,35.2,44,26,23,4,15,38,1.65
2020,TEX,AL,3,0,0,0.00,1,1,0,1.0,0,0,0,0,1,1,1.00
2021,NYY,AL,341,5,3,3.83,16,16,0,80.0,74,37,34,8,33,82,1.34
2022,TB,AL,689,10,10,4.34,31,31,0,164.0,178,82,79,20,21,139,1.21
