Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,SEA,AL,256,3,4,4.13,11,10,0,61.0,63,29,28,11,15,36,1.28
2010,SEA,AL,720,6,14,4.11,28,28,0,171.0,187,85,78,13,32,93,1.28
2011,SEA,AL,602,3,12,3.33,21,21,0,146.0,139,57,54,7,32,89,1.17
2011,DET,AL,273,8,1,1.79,11,10,0,70.1,54,19,14,4,5,57,0.84
2011,2 Teams,,875,11,13,2.83,32,31,0,216.1,193,76,68,11,37,146,1.06
2012,DET,AL,673,10,10,3.45,26,26,0,161.2,156,73,62,15,37,137,1.19
2013,DET,AL,881,14,9,3.67,33,32,0,208.2,229,91,85,14,44,159,1.31
2014,WSH,NL,662,16,6,2.41,25,25,0,164.0,153,52,44,18,24,98,1.08
2015,WSH,NL,449,5,7,4.19,25,15,1,103.0,120,56,48,14,24,63,1.40
2016,HOU,AL,779,12,13,4.64,32,32,0,180.1,195,98,93,24,62,115,1.43
2017,BOS,AL,392,5,9,4.88,18,15,0,90.1,87,55,49,9,38,83,1.38
