Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,DET,AL,416,4,3,3.99,23,18,0,99.1,93,49,44,12,33,94,1.27
2013,DET,AL,303,6,0,2.37,63,0,2,76.0,62,20,20,4,17,81,1.04
2014,DET,AL,445,6,9,3.93,21,18,0,105.1,111,48,46,14,31,89,1.35
2014,TB,AL,173,3,1,1.70,7,7,0,47.2,25,9,9,4,11,44,0.76
2014,2 Teams,,618,9,10,3.24,28,25,0,153.0,136,57,55,18,42,133,1.16
2015,TB,AL,275,5,2,3.11,12,12,0,66.2,58,24,23,11,20,77,1.17
2016,TB,AL,738,7,12,4.88,30,30,0,175.1,174,103,95,32,49,167,1.27
2019,TEX,AL,251,1,5,8.42,13,9,1,51.1,64,49,48,19,34,52,1.91
2019,PHI,NL,263,3,2,4.45,12,12,0,62.2,62,34,31,13,21,68,1.32
2019,2 Teams,,514,4,7,6.24,25,21,1,114.0,126,83,79,32,55,120,1.59
2020,SF,NL,111,0,1,3.42,7,5,0,26.1,20,11,10,2,9,42,1.10
2021,ATL,NL,546,11,4,4.48,29,23,0,126.2,133,69,63,27,41,117,1.37
2022,CHC,NL,447,7,8,3.47,22,22,0,106.1,101,46,41,16,26,91,1.19
