Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1984,NYM,NL,879,17,9,2.60,31,31,0,218.0,161,72,63,7,73,276,1.07
1985,NYM,NL,1065,24,4,1.53,35,35,0,276.2,198,51,47,13,69,268,0.97
1986,NYM,NL,1020,17,6,2.84,33,33,0,250.0,197,92,79,17,80,200,1.11
1987,NYM,NL,730,15,7,3.21,25,25,0,179.2,162,68,64,11,53,148,1.20
1988,NYM,NL,1024,18,9,3.19,34,34,0,248.1,242,98,88,8,57,175,1.20
1989,NYM,NL,497,9,4,2.89,19,17,1,118.1,93,42,38,9,47,101,1.18
1990,NYM,NL,983,19,7,3.83,34,34,0,232.2,229,106,99,10,70,223,1.29
1991,NYM,NL,789,13,7,3.60,27,27,0,190.0,185,80,76,12,56,150,1.27
1992,NYM,NL,863,10,13,3.67,31,31,0,206.0,197,93,84,11,70,145,1.30
1993,NYM,NL,866,12,15,3.45,29,29,0,208.2,188,89,80,16,61,149,1.19
1994,NYM,NL,182,3,4,6.31,7,7,0,41.1,46,32,29,9,15,40,1.48
1996,NYY,AL,756,11,7,5.01,29,29,0,170.2,169,101,95,19,88,126,1.51
1997,NYY,AL,472,9,5,4.91,20,19,0,106.1,116,61,58,14,53,66,1.59
1998,CLE,AL,580,8,6,3.76,23,23,0,134.0,135,59,56,13,51,83,1.39
1999,CLE,AL,532,3,4,6.26,26,22,0,115.0,127,90,80,18,67,88,1.69
2000,HOU,NL,20,0,0,9.00,1,1,0,4.0,6,4,4,1,3,1,2.25
2000,TB,AL,173,2,3,6.63,8,8,0,36.2,47,32,27,14,20,23,1.83
2000,NYY,AL,274,4,2,3.36,18,5,2,64.1,66,28,24,8,21,31,1.35
