Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,TB,AL,20,0,0,1.80,8,0,0,5.0,2,1,1,0,3,6,1.00
2011,TB,AL,124,5,2,4.50,37,0,0,28.0,30,14,14,5,12,27,1.50
2012,TB,AL,212,5,2,1.95,69,0,0,55.1,33,13,12,3,11,73,0.80
2013,TB,AL,260,5,3,4.02,71,0,1,62.2,52,28,28,8,22,75,1.18
2014,TB,AL,274,5,2,1.89,73,0,19,71.1,48,15,15,2,16,90,0.90
2015,TB,AL,147,1,2,2.41,39,0,6,37.1,27,11,10,3,8,48,0.94
2016,COL,NL,205,2,3,4.73,57,0,15,45.2,56,25,24,9,16,38,1.58
2017,COL,NL,229,0,2,3.61,62,0,3,57.1,47,23,23,4,16,58,1.10
2018,COL,NL,227,2,4,6.49,61,0,1,51.1,59,39,37,10,16,47,1.46
2019,COL,NL,180,0,2,4.35,45,0,0,41.1,47,25,20,11,11,35,1.40
2020,LAD,NL,79,3,1,2.66,24,0,0,20.1,14,6,6,2,3,33,0.84
2021,SF,NL,239,3,2,2.72,62,0,31,59.2,44,25,18,7,10,58,0.91
2022,SF,NL,96,1,2,7.17,24,0,3,21.1,27,18,17,2,6,11,1.55
2022,MIL,NL,25,0,0,6.35,6,0,0,5.2,7,4,4,2,1,4,1.41
2022,WSH,NL,42,0,1,6.30,12,0,0,10.0,7,7,7,2,5,10,1.20
