Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2002,ANA,AL,465,9,4,3.66,18,18,0,108.1,113,52,44,10,33,69,1.35
2003,ANA,AL,885,10,16,4.63,33,33,0,204.0,223,117,105,31,66,151,1.42
2004,ANA,AL,855,14,13,4.67,33,32,0,198.1,215,108,103,22,60,144,1.39
2005,LAA,AL,892,14,5,3.44,33,33,0,209.0,208,85,80,13,71,199,1.33
2006,LAA,AL,922,13,11,3.56,33,33,0,217.2,203,98,86,14,72,190,1.26
2007,LAA,AL,929,19,9,3.01,33,33,0,224.0,219,87,75,18,52,179,1.21
2008,LAA,AL,675,12,5,3.75,24,24,0,163.1,161,71,68,26,40,130,1.23
2009,LAA,AL,748,11,8,3.83,27,27,0,176.1,177,84,75,17,47,139,1.27
2010,BOS,AL,930,14,11,4.40,33,33,0,215.0,233,114,105,18,72,156,1.42
2011,BOS,AL,743,12,12,6.41,28,28,0,160.0,203,119,114,20,56,108,1.62
2013,BOS,AL,778,10,13,3.52,29,29,0,189.1,179,80,74,26,40,161,1.16
2014,BOS,AL,572,11,7,3.60,21,21,0,137.1,137,60,55,15,32,116,1.23
2014,STL,NL,261,3,3,4.30,10,10,0,60.2,69,34,29,9,15,48,1.38
2014,2 Teams,,833,14,10,3.82,31,31,0,198.0,206,94,84,24,47,164,1.28
2015,STL,NL,896,13,10,2.77,33,33,0,218.0,211,71,67,21,53,175,1.21
2016,CHC,NL,748,11,8,3.35,29,29,0,188.1,146,74,70,23,53,180,1.06
