Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2006,HOU,NL,66,0,2,6.00,4,2,0,15.0,17,10,10,1,7,11,1.60
2007,HOU,NL,508,4,11,5.86,31,18,0,110.2,127,77,72,18,50,71,1.60
2008,BAL,AL,208,3,3,3.49,28,3,0,49.0,43,21,19,4,22,26,1.33
2009,BAL,AL,309,3,6,5.51,56,0,0,67.0,80,43,41,3,36,49,1.73
2010,BAL,AL,329,5,3,4.52,62,0,0,75.2,78,41,38,6,34,49,1.48
2011,BOS,AL,289,4,4,4.73,56,0,0,64.2,62,35,34,7,31,68,1.44
2012,BOS,AL,157,2,0,2.29,40,0,0,39.1,30,14,10,6,15,25,1.14
2012,AZ,NL,84,1,1,2.57,23,0,0,21.0,16,7,6,3,7,19,1.10
2012,2 Teams,,241,3,1,2.39,63,0,0,60.1,46,21,16,9,22,44,1.13
2013,CLE,AL,262,3,1,3.14,56,0,0,63.0,57,25,22,2,23,35,1.27
2014,HOU,AL,42,0,0,0.90,8,0,0,10.0,10,1,1,0,3,8,1.30
2015,CWS,AL,149,2,0,1.21,30,0,0,37.1,31,6,5,3,9,28,1.07
2016,CWS,AL,237,2,6,6.31,58,1,0,51.1,67,44,36,10,19,30,1.68
2017,WSH,NL,233,7,2,1.62,63,0,2,61.0,35,12,11,6,17,63,0.85
2018,MIL,NL,157,3,3,7.34,34,0,1,34.1,45,29,28,10,12,32,1.66
