Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2004,SEA,AL,148,1,2,4.13,19,1,0,32.2,30,15,15,2,25,30,1.68
2005,SEA,AL,262,0,4,5.21,55,0,0,57.0,54,33,33,13,42,57,1.68
2006,CWS,AL,227,5,3,3.33,63,0,2,54.0,46,20,20,5,21,49,1.24
2007,CWS,AL,249,4,4,4.79,68,0,2,56.1,59,31,30,4,26,55,1.51
2008,CWS,AL,268,5,3,2.67,74,0,1,67.1,48,20,20,5,19,77,1.00
2009,CWS,AL,291,6,3,2.74,70,0,4,72.1,58,22,22,5,20,87,1.08
2010,CWS,AL,239,5,4,2.67,61,0,8,60.2,41,18,18,3,20,81,1.01
2011,CWS,AL,262,2,5,3.32,62,0,3,59.2,60,34,22,3,21,63,1.36
2012,CWS,AL,266,4,10,3.46,74,0,3,65.0,63,27,25,4,17,53,1.23
2013,CWS,AL,116,0,3,3.86,40,0,0,28.0,25,14,12,4,10,21,1.25
2013,BOS,AL,71,0,1,3.52,20,0,0,15.1,22,6,6,0,5,9,1.76
2013,2 Teams,,187,0,4,3.74,60,0,0,43.1,47,20,18,4,15,30,1.43
2014,NYY,AL,107,0,3,2.55,46,0,0,24.2,23,9,7,0,6,20,1.18
2014,WSH,NL,45,1,0,0.00,18,0,0,11.1,10,0,0,0,2,8,1.06
2014,2 Teams,,152,1,3,1.75,64,0,0,36.0,33,9,7,0,8,28,1.14
2015,WSH,NL,171,2,1,2.18,60,0,0,41.1,33,12,10,2,11,23,1.06
