Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,MIL,NL,10,0,0,0.00,2,0,0,2.0,2,0,0,0,3,2,2.50
2012,MIL,NL,539,9,10,3.74,23,22,0,127.2,125,56,53,12,36,135,1.26
2013,MIL,NL,103,1,4,7.25,11,3,0,22.1,28,20,18,8,6,15,1.52
2014,MIL,NL,274,6,5,2.13,14,10,0,71.2,46,19,17,7,17,76,0.88
2015,MIL,NL,509,5,9,3.89,21,21,0,118.0,117,57,51,14,43,121,1.36
2015,HOU,AL,252,2,1,3.32,10,9,0,62.1,45,26,23,10,21,59,1.06
2015,2 Teams,,761,7,10,3.69,31,30,0,180.1,162,83,74,24,64,180,1.25
2016,HOU,AL,724,11,8,4.48,31,30,0,168.2,187,89,84,26,42,134,1.36
2017,HOU,AL,671,8,10,5.22,29,28,0,153.1,157,95,89,32,62,146,1.43
2018,DET,AL,502,7,6,3.48,21,21,0,119.0,121,49,46,20,26,87,1.24
2018,OAK,AL,212,5,2,3.74,10,9,0,53.0,45,22,22,12,11,52,1.06
2018,2 Teams,,714,12,8,3.56,31,30,0,172.0,166,71,68,32,37,139,1.18
2019,OAK,AL,754,15,4,3.90,33,33,0,184.2,166,82,80,30,53,126,1.19
2020,OAK,AL,257,6,3,4.58,11,11,0,59.0,65,31,30,9,16,37,1.37
