Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2008,NYY,AL,52,1,0,0.61,12,0,0,14.2,8,1,1,0,2,14,0.68
2009,NYY,AL,238,4,3,4.50,72,0,2,60.0,44,34,30,10,20,49,1.07
2010,DET,AL,279,7,5,3.76,74,1,2,64.2,67,29,27,2,26,53,1.44
2011,DET,AL,474,3,9,4.47,48,14,1,108.2,118,64,54,5,40,69,1.45
2012,DET,AL,245,2,3,4.00,66,0,1,54.0,71,28,24,5,18,51,1.65
2013,DET,AL,177,0,5,5.40,49,0,1,38.1,43,24,23,3,21,30,1.67
2014,DET,AL,257,5,2,3.88,62,0,1,58.0,69,28,25,5,20,41,1.53
2015,CHC,NL,45,0,0,6.30,16,0,0,10.0,14,7,7,1,3,9,1.70
2015,TOR,AL,11,0,0,3.38,2,0,0,2.2,1,1,1,1,2,3,1.13
2015,2 Teams,,56,0,0,5.68,18,0,0,12.2,15,8,8,2,5,12,1.58
2016,NYY,AL,29,0,0,6.00,3,0,0,6.0,7,5,4,1,4,1,1.83
2016,PIT,NL,16,0,0,0.00,3,0,0,4.0,3,0,0,0,3,3,1.50
