Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1984,BOS,AL,575,9,4,4.32,21,20,0,133.1,146,67,64,13,29,126,1.31
1985,BOS,AL,407,7,5,3.29,15,15,0,98.1,83,38,36,5,37,74,1.22
1986,BOS,AL,997,24,4,2.48,33,33,0,254.0,179,77,70,21,67,238,0.97
1987,BOS,AL,1157,20,9,2.97,36,36,0,281.2,248,100,93,19,83,256,1.18
1988,BOS,AL,1063,18,12,2.93,35,35,0,264.0,217,93,86,17,62,291,1.06
1989,BOS,AL,1044,17,11,3.13,35,35,0,253.1,215,101,88,20,93,230,1.22
1990,BOS,AL,920,21,6,1.93,31,31,0,228.1,193,59,49,7,54,209,1.08
1991,BOS,AL,1077,18,10,2.62,35,35,0,271.1,219,93,79,15,65,241,1.05
1992,BOS,AL,989,18,11,2.41,32,32,0,246.2,203,80,66,11,62,208,1.07
1993,BOS,AL,808,11,14,4.46,29,29,0,191.2,175,99,95,17,67,160,1.26
1994,BOS,AL,692,9,7,2.85,24,24,0,170.2,124,62,54,15,71,168,1.14
1995,BOS,AL,623,10,5,4.18,23,23,0,140.0,141,70,65,15,60,132,1.44
1996,BOS,AL,1032,10,13,3.63,34,34,0,242.2,216,106,98,19,106,257,1.33
1997,TOR,AL,1044,21,7,2.05,34,34,0,264.0,204,65,60,9,68,292,1.03
1998,TOR,AL,961,20,6,2.65,33,33,0,234.2,169,78,69,11,88,271,1.10
1999,NYY,AL,822,14,10,4.60,30,30,0,187.2,185,101,96,20,90,163,1.47
2000,NYY,AL,878,13,8,3.70,32,32,0,204.1,184,96,84,26,84,188,1.31
2001,NYY,AL,918,20,3,3.51,33,33,0,220.1,205,94,86,19,72,213,1.26
2002,NYY,AL,768,13,6,4.35,29,29,0,180.0,172,94,87,18,63,192,1.31
2003,NYY,AL,878,17,9,3.91,33,33,0,211.2,199,99,92,24,58,190,1.21
2004,HOU,NL,878,18,4,2.98,33,33,0,214.1,169,76,71,15,79,218,1.16
2005,HOU,NL,838,13,8,1.87,32,32,0,211.1,151,51,44,11,62,185,1.01
2006,HOU,NL,451,7,6,2.30,19,19,0,113.1,89,34,29,7,29,102,1.04
