Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
1993,OAK,AL,210,3,3,4.04,8,8,0,49.0,49,23,22,4,16,33,1.33
1994,OAK,AL,115,1,1,2.57,4,4,0,28.0,26,8,8,1,8,15,1.21
1997,OAK,AL,609,3,12,5.77,24,24,0,132.2,166,92,85,20,47,92,1.61
1998,CLE,AL,111,0,2,5.92,11,1,0,24.1,31,16,16,3,6,13,1.52
1999,CLE,AL,324,10,2,2.97,50,3,1,78.2,71,29,26,6,30,68,1.28
2000,CLE,AL,329,5,9,3.76,72,0,20,76.2,79,33,32,5,25,66,1.36
2001,CLE,AL,166,0,1,1.25,31,0,1,43.1,29,6,6,1,8,44,0.85
2001,ATL,NL,190,3,4,3.43,43,0,7,44.2,44,21,17,4,17,39,1.37
2001,2 Teams,,356,3,5,2.35,74,0,8,88.0,73,27,23,5,25,83,1.11
2002,NYY,AL,379,6,4,3.26,78,0,12,88.1,87,33,32,7,30,65,1.32
2004,NYY,AL,27,0,0,2.70,7,0,0,6.2,5,3,2,2,2,4,1.05
2005,NYY,AL,29,0,0,6.00,6,0,0,6.0,10,5,4,0,2,5,2.00
2005,TEX,AL,77,0,1,7.47,14,0,0,15.2,26,14,13,2,5,9,1.98
2005,2 Teams,,106,0,1,7.06,20,0,0,21.2,36,19,17,2,7,14,1.98
