Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2013,SEA,AL,60,1,0,3.60,3,3,0,15.0,11,7,6,0,4,12,1.00
2014,SEA,AL,160,2,3,2.61,8,5,0,38.0,31,12,11,2,18,34,1.29
2015,SEA,AL,706,11,8,4.56,29,29,0,169.2,163,92,86,25,40,157,1.20
2016,SEA,AL,573,8,11,4.22,25,25,0,134.1,129,75,63,27,37,119,1.24
2017,AZ,NL,684,9,9,3.49,28,28,0,157.1,148,76,61,17,61,146,1.33
2018,AZ,NL,56,0,0,3.46,3,3,0,13.0,15,5,5,1,5,9,1.54
2019,AZ,NL,4,0,0,0.00,1,1,0,1.0,1,0,0,0,0,1,1.00
2020,SEA,AL,112,2,2,4.00,5,5,0,27.0,21,13,12,5,8,25,1.07
2020,TOR,AL,113,2,1,1.37,6,6,0,26.1,22,10,4,3,11,25,1.25
2020,2 Teams,,225,4,3,2.70,11,11,0,53.1,43,23,16,8,19,50,1.16
2021,NYM,NL,654,7,11,4.47,30,29,0,159.0,133,84,79,26,55,146,1.18
2022,NYM,NL,649,12,5,3.49,29,29,0,157.1,143,63,61,15,45,132,1.19
