Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2011,BAL,AL,666,11,11,4.61,28,28,0,154.1,162,93,79,12,62,97,1.45
2012,BAL,AL,270,5,3,5.07,12,11,0,60.1,61,37,34,6,32,53,1.54
2013,BAL,AL,182,2,3,4.95,8,7,0,40.0,52,23,22,4,17,18,1.73
2014,BAL,AL,285,3,2,1.65,71,0,37,76.1,46,17,14,4,23,62,0.90
2015,BAL,AL,253,4,1,1.92,64,0,36,65.2,51,16,14,3,14,79,0.99
2016,BAL,AL,254,2,1,0.54,69,0,47,67.0,38,7,4,1,18,74,0.84
2017,BAL,AL,161,2,1,2.89,38,0,15,37.1,39,12,12,1,18,29,1.53
2018,BAL,AL,63,1,0,3.45,16,0,4,15.2,11,6,6,1,10,13,1.34
2018,NYY,AL,106,1,0,2.88,25,0,3,25.0,18,10,8,2,11,21,1.16
2018,2 Teams,,169,2,0,3.10,41,0,7,40.2,29,16,14,3,21,34,1.23
2019,NYY,AL,245,3,1,1.91,66,0,3,61.1,38,13,13,3,32,53,1.14
2020,NYY,AL,76,1,2,1.89,20,0,8,19.0,12,6,4,0,7,16,1.00
2021,NYY,AL,82,0,1,5.89,22,0,1,18.1,17,14,12,2,14,16,1.69
