Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2009,OAK,AL,735,11,11,4.06,30,30,0,175.1,180,94,79,20,45,150,1.28
2010,OAK,AL,470,7,6,2.80,19,19,0,112.1,112,41,35,6,22,75,1.19
2011,OAK,AL,356,3,6,4.00,13,13,0,83.1,86,40,37,8,25,61,1.33
2012,OAK,AL,137,4,2,2.57,6,6,0,35.0,29,11,10,1,7,25,1.03
2013,OAK,AL,200,1,4,6.04,16,5,3,44.2,51,32,30,5,21,46,1.61
2014,COL,NL,180,1,3,2.91,8,8,0,43.1,44,18,14,1,13,29,1.32
2015,LAD,NL,750,10,9,3.69,31,31,0,180.1,194,82,74,18,46,116,1.33
2016,LAD,NL,62,1,2,11.91,4,3,0,11.1,25,15,15,4,4,5,2.56
2017,CHC,NL,111,2,2,8.18,6,6,0,22.0,34,22,20,2,12,16,2.09
2017,TOR,AL,140,2,2,5.13,7,7,0,33.1,39,19,19,3,9,22,1.44
2017,2 Teams,,251,4,4,6.34,13,13,0,55.1,73,41,39,5,21,38,1.70
2018,OAK,AL,333,4,5,4.48,17,17,0,80.1,90,42,40,10,13,47,1.28
2019,OAK,AL,743,13,9,3.89,31,31,0,176.0,181,80,76,20,49,90,1.31
2020,MIL,NL,202,4,4,4.21,10,10,0,47.0,50,24,22,6,10,32,1.28
