Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2010,CWS,AL,92,2,1,1.93,21,0,4,23.1,15,5,5,2,10,32,1.07
2011,CWS,AL,288,2,2,2.79,58,0,8,71.0,52,22,22,6,27,79,1.11
2012,CWS,AL,772,17,8,3.05,30,29,0,192.0,167,66,65,19,51,192,1.14
2013,CWS,AL,866,11,14,3.07,30,30,0,214.1,184,81,73,23,46,226,1.07
2014,CWS,AL,685,12,4,2.17,26,26,0,174.0,129,48,42,13,39,208,0.97
2015,CWS,AL,854,13,11,3.41,31,31,0,208.2,185,88,79,23,42,274,1.09
2016,CWS,AL,907,17,10,3.34,32,32,0,226.2,190,88,84,27,45,233,1.04
2017,BOS,AL,851,17,8,2.90,32,32,0,214.1,165,73,69,24,43,308,0.97
2018,BOS,AL,617,12,4,2.11,27,27,0,158.0,102,39,37,11,34,237,0.86
2019,BOS,AL,612,6,11,4.40,25,25,0,147.1,123,80,72,24,37,218,1.09
2021,BOS,AL,183,5,1,3.16,9,9,0,42.2,45,19,15,6,12,52,1.34
2022,BOS,AL,25,0,1,3.18,2,2,0,5.2,5,3,2,0,1,5,1.06
