Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,BOS,AL,88,3,1,1.59,4,3,0,22.2,14,6,4,0,10,22,1.06
2008,BOS,AL,357,2,9,6.75,16,15,0,76.0,93,63,57,11,41,72,1.76
2009,BOS,AL,399,7,4,4.21,16,16,0,92.0,91,44,43,13,36,68,1.38
2010,BOS,AL,711,17,7,2.33,28,28,0,173.2,142,55,45,9,67,120,1.20
2011,BOS,AL,353,6,3,3.48,14,14,0,82.2,76,34,32,10,31,60,1.29
2012,BOS,AL,802,11,8,4.56,29,29,0,189.1,187,104,96,25,64,129,1.33
2013,BOS,AL,416,12,1,1.74,16,16,0,108.1,75,23,21,4,36,96,1.02
2014,BOS,AL,737,8,11,5.34,28,28,0,170.1,182,108,101,17,54,132,1.39
2015,BOS,AL,469,7,7,3.26,18,18,0,113.1,114,48,41,6,23,107,1.21
2016,BOS,AL,588,8,10,4.78,37,21,0,139.1,130,80,74,21,55,93,1.33
2017,PHI,NL,40,0,1,12.27,2,2,0,7.1,16,10,10,1,3,5,2.59
2018,AZ,NL,393,7,2,2.01,16,16,0,98.1,80,25,22,9,22,81,1.04
