Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2012,HOU,NL,377,3,8,5.27,16,16,0,85.1,93,56,50,14,39,38,1.55
2013,HOU,AL,682,6,10,5.15,31,22,0,153.2,184,96,88,20,52,123,1.54
2014,HOU,AL,808,12,9,2.93,29,29,0,200.0,187,71,65,11,48,146,1.18
2015,HOU,AL,911,20,8,2.48,33,33,0,232.0,185,68,64,17,51,216,1.02
2016,HOU,AL,701,9,12,4.55,26,26,0,168.0,168,88,85,20,48,144,1.29
2017,HOU,AL,584,14,5,2.90,23,23,0,145.2,116,50,47,15,47,125,1.12
2018,HOU,AL,874,12,11,3.74,34,34,0,204.2,211,92,85,18,58,153,1.31
2019,ATL,NL,487,8,8,3.75,19,19,0,112.2,115,50,47,16,39,91,1.37
2020,CWS,AL,257,6,2,1.99,11,11,0,63.1,52,15,14,2,17,42,1.09
2021,CWS,AL,720,9,9,5.28,32,30,0,162.0,189,105,95,25,59,95,1.53
2022,CWS,AL,164,2,5,7.88,8,8,0,32.0,49,33,28,6,20,20,2.16
2022,AZ,NL,89,0,2,9.64,4,4,0,18.2,27,22,20,4,7,18,1.82
2022,TEX,AL,50,0,2,12.60,2,2,0,10.0,18,14,14,1,4,7,2.20
