Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2003,LA,NL,91,2,1,2.45,4,3,0,22.0,17,6,6,2,11,19,1.27
2004,LA,NL,113,2,1,7.30,8,5,0,24.2,31,20,20,7,11,16,1.70
2005,LAD,NL,134,2,2,6.28,7,6,0,28.2,31,22,20,2,17,13,1.67
2006,TB,AL,174,0,0,5.45,23,1,0,36.1,42,27,22,2,25,27,1.84
2007,TB,AL,755,5,15,5.76,32,31,0,161.0,195,116,103,19,88,128,1.76
2008,TB,AL,792,14,11,4.42,32,31,0,183.1,199,91,90,23,77,108,1.51
2009,DET,AL,890,13,9,3.62,33,33,0,214.0,200,93,86,27,70,161,1.26
2010,AZ,NL,587,6,10,5.16,21,21,0,134.1,141,80,77,13,60,104,1.50
2010,CWS,AL,315,4,2,3.24,11,11,0,75.0,73,31,27,8,18,77,1.21
2010,2 Teams,,902,10,12,4.47,32,32,0,209.1,214,111,104,21,78,181,1.39
2011,CWS,AL,522,7,7,3.92,19,19,0,121.2,134,55,53,8,39,97,1.42
2011,STL,NL,339,5,2,3.58,13,12,0,78.0,91,37,31,8,23,51,1.46
2011,2 Teams,,861,12,9,3.79,32,31,0,199.2,225,92,84,16,62,148,1.44
2012,WSH,NL,790,10,11,4.03,31,31,0,189.2,173,90,85,23,58,168,1.22
2013,CHC,NL,777,8,18,4.98,31,31,0,175.1,197,110,97,16,59,135,1.46
2014,CHC,NL,633,6,15,6.33,28,27,0,140.2,168,105,99,18,63,123,1.64
2015,CHC,NL,134,2,1,3.19,23,0,0,31.0,30,14,11,0,12,23,1.35
2015,ATL,NL,94,2,2,2.92,24,0,1,24.2,14,11,8,4,9,17,0.93
2015,2 Teams,,228,4,3,3.07,47,0,1,55.2,44,25,19,4,21,40,1.17
2016,MIA,NL,47,0,1,5.91,8,0,0,10.2,13,7,7,2,6,7,1.78
2016,SD,NL,326,5,6,5.89,13,13,0,73.1,79,49,48,12,35,54,1.55
2016,2 Teams,,373,5,7,5.89,21,13,0,84.0,92,56,55,14,41,61,1.58
2017,BAL,AL,29,0,0,7.20,3,0,0,5.0,11,7,4,2,4,2,3.00
2017,WSH,NL,310,5,6,5.07,13,13,0,71.0,75,46,40,18,25,58,1.41
2017,2 Teams,,339,5,6,5.21,16,13,0,76.0,86,53,44,20,29,60,1.51
2018,OAK,AL,381,6,3,3.33,17,17,0,92.0,75,37,34,12,37,68,1.22
2019,TOR,AL,144,1,5,11.12,8,5,0,28.1,49,41,35,12,13,19,2.19
2019,DET,AL,192,2,5,8.47,10,8,0,39.1,56,40,37,11,19,33,1.91
