Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2003,SF,NL,545,7,5,3.30,21,21,0,131.0,116,54,48,10,49,88,1.26
2004,SF,NL,559,10,7,4.24,22,22,0,129.1,123,69,61,14,44,80,1.29
2005,SF,NL,73,0,2,6.48,4,3,0,16.2,21,12,12,2,4,11,1.50
2005,CHC,NL,459,6,8,3.91,18,17,0,106.0,98,50,46,12,45,59,1.35
2005,2 Teams,,532,6,10,4.26,22,20,0,122.2,119,62,58,14,49,70,1.37
2006,CHC,NL,61,0,2,7.30,5,2,0,12.1,15,12,10,2,11,5,2.11
2007,WSH,NL,140,0,5,7.20,6,6,0,30.0,34,26,24,6,18,15,1.73
2011,LAA,AL,184,4,0,3.68,10,6,0,44.0,45,20,18,6,15,28,1.36
2012,LAA,AL,572,6,8,4.58,32,15,1,137.2,139,73,70,17,35,98,1.26
2013,LAA,AL,728,9,10,4.57,37,25,0,169.1,181,93,86,23,55,107,1.39
2014,HOU,AL,219,1,4,6.04,26,0,0,47.2,59,33,32,7,16,38,1.57
2014,TEX,AL,48,1,1,9.90,2,2,0,10.0,18,11,11,0,3,6,2.10
2014,PHI,NL,230,4,2,2.83,9,9,0,57.1,48,20,18,5,17,38,1.13
2014,3 Teams,,497,6,7,4.77,37,11,0,115.0,125,64,61,12,36,82,1.40
2015,PHI,NL,553,4,12,5.80,33,21,1,121.0,161,83,78,22,34,74,1.61
