Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,OAK,AL,25,0,1,9.64,6,0,0,4.2,8,6,5,1,2,3,2.14
2008,OAK,AL,156,1,3,3.11,36,0,0,37.2,32,14,13,2,13,35,1.19
2009,OAK,AL,90,0,0,4.84,20,0,0,22.1,19,12,12,2,6,23,1.12
2010,OAK,AL,220,2,1,3.70,63,0,1,48.2,54,20,20,7,18,46,1.48
2011,OAK,AL,122,0,0,2.86,26,0,0,28.1,24,14,9,2,14,26,1.34
2012,OAK,AL,261,5,1,2.48,63,0,1,65.1,45,20,18,7,25,54,1.07
2013,OAK,AL,245,5,0,3.15,67,0,0,60.0,47,23,21,7,17,52,1.07
2014,WSH,NL,240,2,3,4.87,64,0,0,57.1,48,31,31,3,23,66,1.24
2015,NYM,NL,15,1,0,0.00,7,0,0,5.0,0,0,0,0,0,4,0.00
2016,NYM,NL,178,4,2,2.79,73,0,2,42.0,36,14,13,4,15,52,1.21
2017,NYM,NL,217,6,0,2.94,75,0,1,49.0,43,16,16,4,24,69,1.37
2018,NYM,NL,188,3,2,4.85,64,1,1,42.2,36,24,23,6,22,41,1.36
