Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2007,NYM,NL,205,3,2,3.45,54,0,0,44.1,48,18,17,3,21,45,1.56
2008,NYM,NL,271,6,3,3.55,82,0,0,63.1,51,28,25,4,31,52,1.29
2009,CLE,AL,142,0,0,3.44,37,0,0,34.0,30,16,13,4,13,30,1.26
2010,CLE,AL,170,2,2,3.83,53,0,0,40.0,30,18,17,4,24,32,1.35
2011,CLE,AL,267,3,3,2.01,71,0,0,67.0,52,16,15,1,21,45,1.09
2012,CLE,AL,278,7,4,2.96,72,0,0,67.0,53,27,22,4,25,53,1.16
2013,CLE,AL,259,6,2,2.29,70,0,3,63.0,54,17,16,5,23,54,1.22
2014,LAA,AL,285,7,2,1.81,76,0,15,74.2,45,16,15,4,15,68,0.80
2015,LAA,AL,271,5,5,3.58,70,0,5,65.1,64,26,26,4,19,57,1.27
2016,LAA,AL,160,1,4,3.82,38,0,6,37.2,36,16,16,4,13,25,1.30
2016,CHC,NL,57,1,1,2.51,16,0,0,14.1,11,4,4,4,5,15,1.12
2016,2 Teams,,217,2,5,3.46,54,0,6,52.0,47,20,20,8,18,40,1.25
2017,TOR,AL,144,3,0,3.28,38,0,0,35.2,30,13,13,3,10,51,1.12
2017,CLE,AL,70,0,0,3.44,21,0,1,18.1,16,7,7,1,0,20,0.87
2017,2 Teams,,214,3,0,3.33,59,0,1,54.0,46,20,20,4,10,71,1.04
2018,HOU,AL,180,5,1,3.74,56,0,0,45.2,34,20,19,7,12,46,1.01
2019,HOU,AL,96,1,0,1.80,28,0,0,25.0,19,6,5,2,5,22,0.96
2021,HOU,AL,103,1,1,7.48,27,0,0,21.2,35,18,18,4,4,17,1.80
2021,SEA,AL,70,3,3,2.00,23,0,0,18.0,12,5,4,1,4,17,0.89
2021,2 Teams,,173,4,4,4.99,50,0,0,39.2,47,23,22,5,8,34,1.39
