Season,Tm,LG,BF,W,L,ERA,G,GS,SV,IP,H,R,ER,HR,BB,SO,WHIP
2005,PIT,NL,341,8,2,1.81,14,14,0,84.2,79,20,17,3,23,58,1.20
2006,PIT,NL,935,10,15,4.47,34,34,0,215.1,255,116,107,17,68,117,1.50
2007,PIT,NL,482,3,8,5.53,20,19,0,107.1,161,74,66,14,25,41,1.73
2008,PIT,NL,829,5,14,4.82,31,31,0,185.0,230,111,99,19,47,87,1.50
2009,PIT,NL,891,11,16,4.06,32,32,0,213.0,231,101,96,23,49,106,1.31
2010,PIT,NL,730,8,15,5.72,29,29,0,159.0,212,115,101,25,51,96,1.65
2011,AZ,NL,338,3,4,4.93,21,9,1,76.2,101,42,42,6,19,32,1.57
2012,WSH,NL,56,1,0,1.32,8,0,0,13.2,11,2,2,0,4,10,1.10
2013,WSH,NL,101,1,1,8.71,12,1,0,20.2,31,22,20,2,8,11,1.89
2013,CIN,NL,41,0,1,0.84,14,0,0,10.2,8,1,1,1,2,7,0.94
2013,2 Teams,,142,1,2,6.03,26,1,0,31.1,39,23,21,3,10,18,1.56
2014,MIL,NL,238,5,1,2.45,74,0,0,58.2,49,19,16,3,17,74,1.13
2015,CWS,AL,255,3,6,3.41,71,0,1,60.2,47,26,23,9,32,66,1.30
2016,CWS,AL,159,2,0,2.63,53,0,1,37.2,31,11,11,2,16,42,1.25
2016,STL,NL,99,0,1,1.93,28,0,1,23.1,17,5,5,0,13,26,1.29
2016,2 Teams,,258,2,1,2.36,81,0,2,61.0,48,16,16,2,29,68,1.26
2017,STL,NL,74,1,1,3.93,27,0,0,18.1,13,8,8,3,6,12,1.04
2018,MIN,AL,178,3,4,3.62,45,0,0,37.1,44,19,15,0,15,39,1.58
2018,SEA,AL,62,2,1,5.52,27,0,0,14.2,13,9,9,1,6,12,1.30
2018,2 Teams,,240,5,5,4.15,72,0,0,52.0,57,28,24,1,21,51,1.50
