name,url
Tristan Beck,https://baseballsavant.mlb.com/savant-player/tristan-beck-663941?stats=statcast-r-pitching-mlb
Triston McKenzie,https://baseballsavant.mlb.com/savant-player/triston-mckenzie-663474?stats=statcast-r-pitching-mlb
Trystan Magnuson,https://baseballsavant.mlb.com/savant-player/trystan-magnuson-518972?stats=career-r-pitching-mlb
Tucker Davidson,https://baseballsavant.mlb.com/savant-player/tucker-davidson-656353?stats=statcast-r-pitching-mlb
Ty Blach,https://baseballsavant.mlb.com/savant-player/ty-blach-621389?stats=statcast-r-pitching-mlb
Tyler Alexander,https://baseballsavant.mlb.com/savant-player/tyler-alexander-641302?stats=statcast-r-pitching-mlb
Tyler Anderson,https://baseballsavant.mlb.com/savant-player/tyler-anderson-542881?stats=statcast-r-pitching-mlb
Tyler Clippard,https://baseballsavant.mlb.com/savant-player/tyler-clippard-461325?stats=statcast-r-pitching-mlb
Tyler Cloyd,https://baseballsavant.mlb.com/savant-player/tyler-cloyd-543031?stats=statcast-r-pitching-mlb
Tyler Glasnow,https://baseballsavant.mlb.com/savant-player/tyler-glasnow-607192?stats=statcast-r-pitching-mlb
Tyler Holton,https://baseballsavant.mlb.com/savant-player/tyler-holton-663947?stats=statcast-r-pitching-mlb
Tyler Jones,https://baseballsavant.mlb.com/savant-player/tyler-jones-682056?stats=career-r-pitching-milb
Tyler Kinley,https://baseballsavant.mlb.com/savant-player/tyler-kinley-641755?stats=statcast-r-pitching-mlb
Tyler Mahle,https://baseballsavant.mlb.com/savant-player/tyler-mahle-641816?stats=statcast-r-pitching-mlb
Tyler Matzek,https://baseballsavant.mlb.com/savant-player/tyler-matzek-554431?stats=statcast-r-pitching-mlb
Tyler Poulin,https://baseballsavant.mlb.com/savant-player/tyler-poulin-687406?stats=career-r-pitching-milb
Tyler Rogers,https://baseballsavant.mlb.com/savant-player/tyler-rogers-643511?stats=statcast-r-pitching-mlb
Tyler Skaggs,https://baseballsavant.mlb.com/savant-player/tyler-skaggs-572140?stats=statcast-r-pitching-mlb
Tyler Webb,https://baseballsavant.mlb.com/savant-player/tyler-webb-643778?stats=statcast-r-pitching-mlb
Tyler Wells,https://baseballsavant.mlb.com/savant-player/tyler-wells-669330?stats=statcast-r-pitching-mlb
Tyler Wilson,https://baseballsavant.mlb.com/savant-player/tyler-wilson-592869?stats=statcast-r-pitching-mlb
Tylor Megill,https://baseballsavant.mlb.com/savant-player/tylor-megill-656731?stats=statcast-r-pitching-mlb
Vincent Velasquez,https://baseballsavant.mlb.com/savant-player/vince-velasquez-592826?stats=statcast-r-pitching-mlb
Vinnie Pestano,https://baseballsavant.mlb.com/savant-player/vinnie-pestano-502260?stats=statcast-r-pitching-mlb
Wade Davis,https://baseballsavant.mlb.com/savant-player/wade-davis-451584?stats=statcast-r-pitching-mlb
Wade LeBlanc,https://baseballsavant.mlb.com/savant-player/wade-leblanc-453281?stats=statcast-r-pitching-mlb
Wade Miley,https://baseballsavant.mlb.com/savant-player/wade-miley-489119?stats=statcast-r-pitching-mlb
Walker Buehler,https://baseballsavant.mlb.com/savant-player/walker-buehler-621111?stats=statcast-r-pitching-mlb
Walker Lockett,https://baseballsavant.mlb.com/savant-player/walker-lockett-621141?stats=statcast-r-pitching-mlb
Wes Benjamin,https://baseballsavant.mlb.com/savant-player/wes-benjamin-605138?stats=statcast-r-pitching-mlb
Wil Crowe,https://baseballsavant.mlb.com/savant-player/wil-crowe-640444?stats=statcast-r-pitching-mlb
Will Harris,https://baseballsavant.mlb.com/savant-player/will-harris-501789?stats=statcast-r-pitching-mlb
Will Ohman,https://baseballsavant.mlb.com/savant-player/will-ohman-349193?stats=career-r-pitching-mlb
Will Smith,https://baseballsavant.mlb.com/savant-player/will-smith-519293?stats=statcast-r-pitching-mlb
Williams Jerez,https://baseballsavant.mlb.com/savant-player/williams-jerez-605301?stats=statcast-r-pitching-mlb
Wyatt Mills,https://baseballsavant.mlb.com/savant-player/wyatt-mills-670090?stats=statcast-r-pitching-mlb
Xavier Cedeno,https://baseballsavant.mlb.com/savant-player/xavier-cedeno-458584?stats=statcast-r-pitching-mlb
Xzavion Curry,https://baseballsavant.mlb.com/savant-player/xzavion-curry-675540?stats=statcast-r-pitching-mlb
Yency Almonte,https://baseballsavant.mlb.com/savant-player/yency-almonte-622075?stats=statcast-r-pitching-mlb
Yovani Gallardo,https://baseballsavant.mlb.com/savant-player/yovani-gallardo-451596?stats=statcast-r-pitching-mlb
Zac Curtis,https://baseballsavant.mlb.com/savant-player/zac-curtis-657205?stats=statcast-r-pitching-mlb
Zac Gallen,https://baseballsavant.mlb.com/savant-player/zac-gallen-668678?stats=statcast-r-pitching-mlb
Zac Reininger,https://baseballsavant.mlb.com/savant-player/zac-reininger-643617?stats=statcast-r-pitching-mlb
Zac Rosscup,https://baseballsavant.mlb.com/savant-player/zac-rosscup-573127?stats=statcast-r-pitching-mlb
Zach Davies,https://baseballsavant.mlb.com/savant-player/zach-davies-605200?stats=statcast-r-pitching-mlb
Zach Duke,https://baseballsavant.mlb.com/savant-player/zach-duke-435043?stats=statcast-r-pitching-mlb
Zach Eflin,https://baseballsavant.mlb.com/savant-player/zach-eflin-621107?stats=statcast-r-pitching-mlb
