,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
1,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
2,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
3,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
4,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
5,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
6,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
7,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
8,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
9,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
10,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
11,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
12,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
13,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
14,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
15,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
16,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
17,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
18,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
19,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
20,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
21,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
22,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
23,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
24,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
25,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
26,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
27,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
28,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
29,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
30,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
31,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
32,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
33,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
34,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
35,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
36,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
37,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
38,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
39,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
40,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
41,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
42,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
43,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
44,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
45,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
46,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
47,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
48,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
49,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
50,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
51,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
52,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
53,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
54,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
55,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
56,2022,381,88,17,1,8,39,22,0,74,.231,.275,.344,.619
57,2023,200,47,12,2,6,17,9,0,49,.235,.270,.405,.675
