,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2016,105,31,11,1,2,14,10,0,25,.295,.359,.476,.835
1,2017,573,155,26,1,20,90,70,7,112,.271,.352,.424,.776
2,2018,579,168,41,6,16,87,71,1,106,.290,.366,.465,.831
3,2019,541,144,40,5,13,68,59,1,140,.266,.343,.431,.774
4,2020,39,4,1,0,0,1,11,0,17,.103,.314,.128,.442
5,2021,493,136,27,2,17,73,36,0,97,.276,.324,.442,.766
6,2022,347,111,14,2,3,39,39,0,52,.320,.387,.398,.785
7,2022,114,29,9,1,2,12,13,0,25,.254,.331,.404,.735
8,2022,461,140,23,3,5,51,52,0,77,.304,.373,.399,.772
9,2023,355,102,24,1,2,29,33,5,56,.287,.351,.377,.728
10,2016,105,31,11,1,2,14,10,0,25,.295,.359,.476,.835
11,2017,573,155,26,1,20,90,70,7,112,.271,.352,.424,.776
12,2018,579,168,41,6,16,87,71,1,106,.290,.366,.465,.831
13,2019,541,144,40,5,13,68,59,1,140,.266,.343,.431,.774
14,2020,39,4,1,0,0,1,11,0,17,.103,.314,.128,.442
15,2021,493,136,27,2,17,73,36,0,97,.276,.324,.442,.766
16,2022,347,111,14,2,3,39,39,0,52,.320,.387,.398,.785
17,2022,114,29,9,1,2,12,13,0,25,.254,.331,.404,.735
18,2022,461,140,23,3,5,51,52,0,77,.304,.373,.399,.772
19,2023,355,102,24,1,2,29,33,5,56,.287,.351,.377,.728
20,2016,105,31,11,1,2,14,10,0,25,.295,.359,.476,.835
21,2017,573,155,26,1,20,90,70,7,112,.271,.352,.424,.776
22,2018,579,168,41,6,16,87,71,1,106,.290,.366,.465,.831
23,2019,541,144,40,5,13,68,59,1,140,.266,.343,.431,.774
24,2020,39,4,1,0,0,1,11,0,17,.103,.314,.128,.442
25,2021,493,136,27,2,17,73,36,0,97,.276,.324,.442,.766
26,2022,347,111,14,2,3,39,39,0,52,.320,.387,.398,.785
27,2022,114,29,9,1,2,12,13,0,25,.254,.331,.404,.735
28,2022,461,140,23,3,5,51,52,0,77,.304,.373,.399,.772
29,2023,355,102,24,1,2,29,33,5,56,.287,.351,.377,.728
30,2016,105,31,11,1,2,14,10,0,25,.295,.359,.476,.835
31,2017,573,155,26,1,20,90,70,7,112,.271,.352,.424,.776
32,2018,579,168,41,6,16,87,71,1,106,.290,.366,.465,.831
33,2019,541,144,40,5,13,68,59,1,140,.266,.343,.431,.774
34,2020,39,4,1,0,0,1,11,0,17,.103,.314,.128,.442
35,2021,493,136,27,2,17,73,36,0,97,.276,.324,.442,.766
36,2022,347,111,14,2,3,39,39,0,52,.320,.387,.398,.785
37,2022,114,29,9,1,2,12,13,0,25,.254,.331,.404,.735
38,2022,461,140,23,3,5,51,52,0,77,.304,.373,.399,.772
39,2023,355,102,24,1,2,29,33,5,56,.287,.351,.377,.728
40,2016,105,31,11,1,2,14,10,0,25,.295,.359,.476,.835
41,2017,573,155,26,1,20,90,70,7,112,.271,.352,.424,.776
42,2018,579,168,41,6,16,87,71,1,106,.290,.366,.465,.831
43,2019,541,144,40,5,13,68,59,1,140,.266,.343,.431,.774
44,2020,39,4,1,0,0,1,11,0,17,.103,.314,.128,.442
45,2021,493,136,27,2,17,73,36,0,97,.276,.324,.442,.766
46,2022,347,111,14,2,3,39,39,0,52,.320,.387,.398,.785
47,2022,114,29,9,1,2,12,13,0,25,.254,.331,.404,.735
48,2022,461,140,23,3,5,51,52,0,77,.304,.373,.399,.772
49,2023,355,102,24,1,2,29,33,5,56,.287,.351,.377,.728
50,2016,105,31,11,1,2,14,10,0,25,.295,.359,.476,.835
51,2017,573,155,26,1,20,90,70,7,112,.271,.352,.424,.776
52,2018,579,168,41,6,16,87,71,1,106,.290,.366,.465,.831
53,2019,541,144,40,5,13,68,59,1,140,.266,.343,.431,.774
54,2020,39,4,1,0,0,1,11,0,17,.103,.314,.128,.442
55,2021,493,136,27,2,17,73,36,0,97,.276,.324,.442,.766
56,2022,347,111,14,2,3,39,39,0,52,.320,.387,.398,.785
57,2022,114,29,9,1,2,12,13,0,25,.254,.331,.404,.735
58,2022,461,140,23,3,5,51,52,0,77,.304,.373,.399,.772
59,2023,355,102,24,1,2,29,33,5,56,.287,.351,.377,.728
60,2016,105,31,11,1,2,14,10,0,25,.295,.359,.476,.835
61,2017,573,155,26,1,20,90,70,7,112,.271,.352,.424,.776
62,2018,579,168,41,6,16,87,71,1,106,.290,.366,.465,.831
63,2019,541,144,40,5,13,68,59,1,140,.266,.343,.431,.774
64,2020,39,4,1,0,0,1,11,0,17,.103,.314,.128,.442
65,2021,493,136,27,2,17,73,36,0,97,.276,.324,.442,.766
66,2022,347,111,14,2,3,39,39,0,52,.320,.387,.398,.785
67,2022,114,29,9,1,2,12,13,0,25,.254,.331,.404,.735
68,2022,461,140,23,3,5,51,52,0,77,.304,.373,.399,.772
69,2023,355,102,24,1,2,29,33,5,56,.287,.351,.377,.728
