,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
1,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
2,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
3,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
4,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
5,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
6,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
7,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
8,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
9,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
10,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
11,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
12,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
13,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
14,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
15,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
16,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
17,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
18,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
19,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
20,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
21,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
22,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
23,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
24,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
25,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
26,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
27,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
28,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
29,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
30,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
31,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
32,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
33,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
34,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
35,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
36,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
37,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
38,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
39,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
40,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
41,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
42,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
43,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
44,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
45,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
46,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
47,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
48,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
49,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
50,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
51,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
52,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
53,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
54,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
55,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
56,2022,391,110,21,1,5,45,60,1,70,.281,.394,.379,.773
57,2023,302,85,9,1,11,34,33,2,51,.281,.368,.427,.795
