,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2017,87,24,3,0,4,12,9,2,34,.276,.351,.448,.799
1,2018,22,4,0,1,0,4,2,0,11,.182,.250,.273,.523
2,2018,112,21,4,2,2,7,9,0,50,.188,.252,.313,.565
3,2018,134,25,4,3,2,11,11,0,61,.187,.252,.306,.558
4,2019,65,9,2,0,2,6,10,0,23,.138,.247,.262,.509
5,2020,31,7,0,1,1,2,3,0,8,.226,.294,.387,.681
6,2020,20,3,0,1,1,3,5,0,7,.150,.320,.400,.720
7,2020,51,10,0,2,2,5,8,0,15,.196,.305,.392,.697
8,2021,253,52,9,4,13,44,33,0,113,.206,.300,.427,.727
9,2022,184,27,4,0,5,14,16,0,85,.147,.225,.250,.475
10,2022,17,2,2,0,0,1,0,0,9,.118,.118,.235,.353
11,2022,201,29,6,0,5,15,16,0,94,.144,.217,.249,.466
12,2023,13,1,0,0,0,2,3,0,8,.077,.250,.077,.327
13,2017,87,24,3,0,4,12,9,2,34,.276,.351,.448,.799
14,2018,22,4,0,1,0,4,2,0,11,.182,.250,.273,.523
15,2018,112,21,4,2,2,7,9,0,50,.188,.252,.313,.565
16,2018,134,25,4,3,2,11,11,0,61,.187,.252,.306,.558
17,2019,65,9,2,0,2,6,10,0,23,.138,.247,.262,.509
18,2020,31,7,0,1,1,2,3,0,8,.226,.294,.387,.681
19,2020,20,3,0,1,1,3,5,0,7,.150,.320,.400,.720
20,2020,51,10,0,2,2,5,8,0,15,.196,.305,.392,.697
21,2021,253,52,9,4,13,44,33,0,113,.206,.300,.427,.727
22,2022,184,27,4,0,5,14,16,0,85,.147,.225,.250,.475
23,2022,17,2,2,0,0,1,0,0,9,.118,.118,.235,.353
24,2022,201,29,6,0,5,15,16,0,94,.144,.217,.249,.466
25,2023,13,1,0,0,0,2,3,0,8,.077,.250,.077,.327
26,2017,87,24,3,0,4,12,9,2,34,.276,.351,.448,.799
27,2018,22,4,0,1,0,4,2,0,11,.182,.250,.273,.523
28,2018,112,21,4,2,2,7,9,0,50,.188,.252,.313,.565
29,2018,134,25,4,3,2,11,11,0,61,.187,.252,.306,.558
30,2019,65,9,2,0,2,6,10,0,23,.138,.247,.262,.509
31,2020,31,7,0,1,1,2,3,0,8,.226,.294,.387,.681
32,2020,20,3,0,1,1,3,5,0,7,.150,.320,.400,.720
33,2020,51,10,0,2,2,5,8,0,15,.196,.305,.392,.697
34,2021,253,52,9,4,13,44,33,0,113,.206,.300,.427,.727
35,2022,184,27,4,0,5,14,16,0,85,.147,.225,.250,.475
36,2022,17,2,2,0,0,1,0,0,9,.118,.118,.235,.353
37,2022,201,29,6,0,5,15,16,0,94,.144,.217,.249,.466
38,2023,13,1,0,0,0,2,3,0,8,.077,.250,.077,.327
39,2017,87,24,3,0,4,12,9,2,34,.276,.351,.448,.799
40,2018,22,4,0,1,0,4,2,0,11,.182,.250,.273,.523
41,2018,112,21,4,2,2,7,9,0,50,.188,.252,.313,.565
42,2018,134,25,4,3,2,11,11,0,61,.187,.252,.306,.558
43,2019,65,9,2,0,2,6,10,0,23,.138,.247,.262,.509
44,2020,31,7,0,1,1,2,3,0,8,.226,.294,.387,.681
45,2020,20,3,0,1,1,3,5,0,7,.150,.320,.400,.720
46,2020,51,10,0,2,2,5,8,0,15,.196,.305,.392,.697
47,2021,253,52,9,4,13,44,33,0,113,.206,.300,.427,.727
48,2022,184,27,4,0,5,14,16,0,85,.147,.225,.250,.475
49,2022,17,2,2,0,0,1,0,0,9,.118,.118,.235,.353
50,2022,201,29,6,0,5,15,16,0,94,.144,.217,.249,.466
51,2023,13,1,0,0,0,2,3,0,8,.077,.250,.077,.327
52,2017,87,24,3,0,4,12,9,2,34,.276,.351,.448,.799
53,2018,22,4,0,1,0,4,2,0,11,.182,.250,.273,.523
54,2018,112,21,4,2,2,7,9,0,50,.188,.252,.313,.565
55,2018,134,25,4,3,2,11,11,0,61,.187,.252,.306,.558
56,2019,65,9,2,0,2,6,10,0,23,.138,.247,.262,.509
57,2020,31,7,0,1,1,2,3,0,8,.226,.294,.387,.681
58,2020,20,3,0,1,1,3,5,0,7,.150,.320,.400,.720
59,2020,51,10,0,2,2,5,8,0,15,.196,.305,.392,.697
60,2021,253,52,9,4,13,44,33,0,113,.206,.300,.427,.727
61,2022,184,27,4,0,5,14,16,0,85,.147,.225,.250,.475
62,2022,17,2,2,0,0,1,0,0,9,.118,.118,.235,.353
63,2022,201,29,6,0,5,15,16,0,94,.144,.217,.249,.466
64,2023,13,1,0,0,0,2,3,0,8,.077,.250,.077,.327
65,2017,87,24,3,0,4,12,9,2,34,.276,.351,.448,.799
66,2018,22,4,0,1,0,4,2,0,11,.182,.250,.273,.523
67,2018,112,21,4,2,2,7,9,0,50,.188,.252,.313,.565
68,2018,134,25,4,3,2,11,11,0,61,.187,.252,.306,.558
69,2019,65,9,2,0,2,6,10,0,23,.138,.247,.262,.509
70,2020,31,7,0,1,1,2,3,0,8,.226,.294,.387,.681
71,2020,20,3,0,1,1,3,5,0,7,.150,.320,.400,.720
72,2020,51,10,0,2,2,5,8,0,15,.196,.305,.392,.697
73,2021,253,52,9,4,13,44,33,0,113,.206,.300,.427,.727
74,2022,184,27,4,0,5,14,16,0,85,.147,.225,.250,.475
75,2022,17,2,2,0,0,1,0,0,9,.118,.118,.235,.353
76,2022,201,29,6,0,5,15,16,0,94,.144,.217,.249,.466
