,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2012,533,144,26,9,22,59,56,0,120,.270,.340,.477,.817
1,2013,424,116,24,3,20,58,61,4,94,.274,.368,.486,.854
2,2014,352,96,10,2,13,32,38,4,104,.273,.344,.423,.767
3,2015,521,172,38,1,42,99,124,15,131,.330,.460,.649,1.109
4,2016,506,123,24,2,24,86,108,20,117,.243,.373,.441,.814
5,2017,420,134,27,1,29,87,68,11,99,.319,.413,.595,1.008
6,2018,550,137,34,0,34,100,130,16,169,.249,.393,.496,.889
7,2019,573,149,36,1,35,114,99,11,178,.260,.372,.510,.882
8,2020,190,51,9,2,13,33,49,8,43,.268,.420,.542,.962
9,2021,488,151,42,1,35,84,100,14,134,.309,.429,.615,1.044
10,2022,370,106,28,1,18,65,46,9,87,.286,.364,.514,.878
11,2023,245,71,16,0,4,28,38,4,64,.290,.385,.404,.789
12,2012,533,144,26,9,22,59,56,0,120,.270,.340,.477,.817
13,2013,424,116,24,3,20,58,61,4,94,.274,.368,.486,.854
14,2014,352,96,10,2,13,32,38,4,104,.273,.344,.423,.767
15,2015,521,172,38,1,42,99,124,15,131,.330,.460,.649,1.109
16,2016,506,123,24,2,24,86,108,20,117,.243,.373,.441,.814
17,2017,420,134,27,1,29,87,68,11,99,.319,.413,.595,1.008
18,2018,550,137,34,0,34,100,130,16,169,.249,.393,.496,.889
19,2019,573,149,36,1,35,114,99,11,178,.260,.372,.510,.882
20,2020,190,51,9,2,13,33,49,8,43,.268,.420,.542,.962
21,2021,488,151,42,1,35,84,100,14,134,.309,.429,.615,1.044
22,2022,370,106,28,1,18,65,46,9,87,.286,.364,.514,.878
23,2023,245,71,16,0,4,28,38,4,64,.290,.385,.404,.789
24,2012,533,144,26,9,22,59,56,0,120,.270,.340,.477,.817
25,2013,424,116,24,3,20,58,61,4,94,.274,.368,.486,.854
26,2014,352,96,10,2,13,32,38,4,104,.273,.344,.423,.767
27,2015,521,172,38,1,42,99,124,15,131,.330,.460,.649,1.109
28,2016,506,123,24,2,24,86,108,20,117,.243,.373,.441,.814
29,2017,420,134,27,1,29,87,68,11,99,.319,.413,.595,1.008
30,2018,550,137,34,0,34,100,130,16,169,.249,.393,.496,.889
31,2019,573,149,36,1,35,114,99,11,178,.260,.372,.510,.882
32,2020,190,51,9,2,13,33,49,8,43,.268,.420,.542,.962
33,2021,488,151,42,1,35,84,100,14,134,.309,.429,.615,1.044
34,2022,370,106,28,1,18,65,46,9,87,.286,.364,.514,.878
35,2023,245,71,16,0,4,28,38,4,64,.290,.385,.404,.789
36,2012,533,144,26,9,22,59,56,0,120,.270,.340,.477,.817
37,2013,424,116,24,3,20,58,61,4,94,.274,.368,.486,.854
38,2014,352,96,10,2,13,32,38,4,104,.273,.344,.423,.767
39,2015,521,172,38,1,42,99,124,15,131,.330,.460,.649,1.109
40,2016,506,123,24,2,24,86,108,20,117,.243,.373,.441,.814
41,2017,420,134,27,1,29,87,68,11,99,.319,.413,.595,1.008
42,2018,550,137,34,0,34,100,130,16,169,.249,.393,.496,.889
43,2019,573,149,36,1,35,114,99,11,178,.260,.372,.510,.882
44,2020,190,51,9,2,13,33,49,8,43,.268,.420,.542,.962
45,2021,488,151,42,1,35,84,100,14,134,.309,.429,.615,1.044
46,2022,370,106,28,1,18,65,46,9,87,.286,.364,.514,.878
47,2023,245,71,16,0,4,28,38,4,64,.290,.385,.404,.789
48,2012,533,144,26,9,22,59,56,0,120,.270,.340,.477,.817
49,2013,424,116,24,3,20,58,61,4,94,.274,.368,.486,.854
50,2014,352,96,10,2,13,32,38,4,104,.273,.344,.423,.767
51,2015,521,172,38,1,42,99,124,15,131,.330,.460,.649,1.109
52,2016,506,123,24,2,24,86,108,20,117,.243,.373,.441,.814
53,2017,420,134,27,1,29,87,68,11,99,.319,.413,.595,1.008
54,2018,550,137,34,0,34,100,130,16,169,.249,.393,.496,.889
55,2019,573,149,36,1,35,114,99,11,178,.260,.372,.510,.882
