,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2015,129,27,7,1,2,6,6,0,44,.209,.250,.326,.576
1,2016,298,67,19,6,10,38,23,0,118,.225,.284,.430,.714
2,2017,462,117,14,6,16,51,38,2,150,.253,.314,.413,.727
3,2018,90,14,4,0,0,4,3,0,28,.156,.183,.200,.383
4,2019,271,71,30,4,10,46,19,1,68,.262,.314,.513,.827
5,2020,130,33,3,0,13,27,2,0,36,.254,.267,.577,.844
6,2021,235,72,23,0,19,32,13,0,62,.306,.358,.647,1.005
7,2022,340,76,13,3,28,51,34,0,116,.224,.306,.526,.832
8,2023,292,57,12,1,17,40,35,2,106,.195,.284,.418,.702
9,2015,129,27,7,1,2,6,6,0,44,.209,.250,.326,.576
10,2016,298,67,19,6,10,38,23,0,118,.225,.284,.430,.714
11,2017,462,117,14,6,16,51,38,2,150,.253,.314,.413,.727
12,2018,90,14,4,0,0,4,3,0,28,.156,.183,.200,.383
13,2019,271,71,30,4,10,46,19,1,68,.262,.314,.513,.827
14,2020,130,33,3,0,13,27,2,0,36,.254,.267,.577,.844
15,2021,235,72,23,0,19,32,13,0,62,.306,.358,.647,1.005
16,2022,340,76,13,3,28,51,34,0,116,.224,.306,.526,.832
17,2023,292,57,12,1,17,40,35,2,106,.195,.284,.418,.702
18,2015,129,27,7,1,2,6,6,0,44,.209,.250,.326,.576
19,2016,298,67,19,6,10,38,23,0,118,.225,.284,.430,.714
20,2017,462,117,14,6,16,51,38,2,150,.253,.314,.413,.727
21,2018,90,14,4,0,0,4,3,0,28,.156,.183,.200,.383
22,2019,271,71,30,4,10,46,19,1,68,.262,.314,.513,.827
23,2020,130,33,3,0,13,27,2,0,36,.254,.267,.577,.844
24,2021,235,72,23,0,19,32,13,0,62,.306,.358,.647,1.005
25,2022,340,76,13,3,28,51,34,0,116,.224,.306,.526,.832
26,2023,292,57,12,1,17,40,35,2,106,.195,.284,.418,.702
27,2015,129,27,7,1,2,6,6,0,44,.209,.250,.326,.576
28,2016,298,67,19,6,10,38,23,0,118,.225,.284,.430,.714
29,2017,462,117,14,6,16,51,38,2,150,.253,.314,.413,.727
30,2018,90,14,4,0,0,4,3,0,28,.156,.183,.200,.383
31,2019,271,71,30,4,10,46,19,1,68,.262,.314,.513,.827
32,2020,130,33,3,0,13,27,2,0,36,.254,.267,.577,.844
33,2021,235,72,23,0,19,32,13,0,62,.306,.358,.647,1.005
34,2022,340,76,13,3,28,51,34,0,116,.224,.306,.526,.832
35,2023,292,57,12,1,17,40,35,2,106,.195,.284,.418,.702
36,2015,129,27,7,1,2,6,6,0,44,.209,.250,.326,.576
37,2016,298,67,19,6,10,38,23,0,118,.225,.284,.430,.714
38,2017,462,117,14,6,16,51,38,2,150,.253,.314,.413,.727
39,2018,90,14,4,0,0,4,3,0,28,.156,.183,.200,.383
40,2019,271,71,30,4,10,46,19,1,68,.262,.314,.513,.827
41,2020,130,33,3,0,13,27,2,0,36,.254,.267,.577,.844
42,2021,235,72,23,0,19,32,13,0,62,.306,.358,.647,1.005
43,2022,340,76,13,3,28,51,34,0,116,.224,.306,.526,.832
44,2023,292,57,12,1,17,40,35,2,106,.195,.284,.418,.702
45,2015,129,27,7,1,2,6,6,0,44,.209,.250,.326,.576
46,2016,298,67,19,6,10,38,23,0,118,.225,.284,.430,.714
47,2017,462,117,14,6,16,51,38,2,150,.253,.314,.413,.727
48,2018,90,14,4,0,0,4,3,0,28,.156,.183,.200,.383
49,2019,271,71,30,4,10,46,19,1,68,.262,.314,.513,.827
50,2020,130,33,3,0,13,27,2,0,36,.254,.267,.577,.844
51,2021,235,72,23,0,19,32,13,0,62,.306,.358,.647,1.005
52,2022,340,76,13,3,28,51,34,0,116,.224,.306,.526,.832
53,2023,292,57,12,1,17,40,35,2,106,.195,.284,.418,.702
54,2015,129,27,7,1,2,6,6,0,44,.209,.250,.326,.576
55,2016,298,67,19,6,10,38,23,0,118,.225,.284,.430,.714
56,2017,462,117,14,6,16,51,38,2,150,.253,.314,.413,.727
57,2018,90,14,4,0,0,4,3,0,28,.156,.183,.200,.383
58,2019,271,71,30,4,10,46,19,1,68,.262,.314,.513,.827
59,2020,130,33,3,0,13,27,2,0,36,.254,.267,.577,.844
60,2021,235,72,23,0,19,32,13,0,62,.306,.358,.647,1.005
61,2022,340,76,13,3,28,51,34,0,116,.224,.306,.526,.832
62,2023,292,57,12,1,17,40,35,2,106,.195,.284,.418,.702
63,2015,129,27,7,1,2,6,6,0,44,.209,.250,.326,.576
64,2016,298,67,19,6,10,38,23,0,118,.225,.284,.430,.714
65,2017,462,117,14,6,16,51,38,2,150,.253,.314,.413,.727
