,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
1,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
2,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
3,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
4,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
5,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
6,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
7,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
8,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
9,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
10,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
11,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
12,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
13,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
14,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
15,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
16,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
17,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
18,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
19,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
20,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
21,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
22,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
23,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
24,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
25,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
26,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
27,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
28,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
29,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
30,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
31,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
32,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
33,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
34,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
35,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
36,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
37,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
38,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
39,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
40,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
41,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
42,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
43,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
44,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
45,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
46,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
47,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
48,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
49,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
50,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
51,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
52,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
53,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
54,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
55,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
56,2022,12,2,0,0,0,0,0,0,5,.167,.231,.167,.398
57,2023,2,0,0,0,0,0,0,0,2,.000,.000,.000,.000
