,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2014,18,3,1,0,1,1,1,0,9,.167,.211,.389,.600
1,2015,9,1,0,0,0,0,3,0,4,.111,.333,.111,.444
2,2017,12,3,1,0,2,2,1,0,5,.250,.400,.833,1.233
3,2018,49,8,2,0,3,6,3,0,22,.163,.226,.388,.614
4,2019,529,137,26,1,29,73,67,6,155,.259,.348,.476,.824
5,2020,218,59,18,1,7,34,19,0,50,.271,.333,.459,.792
6,2021,401,98,23,1,10,46,38,1,106,.244,.315,.382,.697
7,2022,583,141,25,2,36,94,69,2,131,.242,.327,.477,.804
8,2023,361,94,30,0,20,63,41,2,75,.260,.337,.510,.847
9,2014,18,3,1,0,1,1,1,0,9,.167,.211,.389,.600
10,2015,9,1,0,0,0,0,3,0,4,.111,.333,.111,.444
11,2017,12,3,1,0,2,2,1,0,5,.250,.400,.833,1.233
12,2018,49,8,2,0,3,6,3,0,22,.163,.226,.388,.614
13,2019,529,137,26,1,29,73,67,6,155,.259,.348,.476,.824
14,2020,218,59,18,1,7,34,19,0,50,.271,.333,.459,.792
15,2021,401,98,23,1,10,46,38,1,106,.244,.315,.382,.697
16,2022,583,141,25,2,36,94,69,2,131,.242,.327,.477,.804
17,2023,361,94,30,0,20,63,41,2,75,.260,.337,.510,.847
18,2014,18,3,1,0,1,1,1,0,9,.167,.211,.389,.600
19,2015,9,1,0,0,0,0,3,0,4,.111,.333,.111,.444
20,2017,12,3,1,0,2,2,1,0,5,.250,.400,.833,1.233
21,2018,49,8,2,0,3,6,3,0,22,.163,.226,.388,.614
22,2019,529,137,26,1,29,73,67,6,155,.259,.348,.476,.824
23,2020,218,59,18,1,7,34,19,0,50,.271,.333,.459,.792
24,2021,401,98,23,1,10,46,38,1,106,.244,.315,.382,.697
25,2022,583,141,25,2,36,94,69,2,131,.242,.327,.477,.804
26,2023,361,94,30,0,20,63,41,2,75,.260,.337,.510,.847
27,2014,18,3,1,0,1,1,1,0,9,.167,.211,.389,.600
28,2015,9,1,0,0,0,0,3,0,4,.111,.333,.111,.444
29,2017,12,3,1,0,2,2,1,0,5,.250,.400,.833,1.233
30,2018,49,8,2,0,3,6,3,0,22,.163,.226,.388,.614
31,2019,529,137,26,1,29,73,67,6,155,.259,.348,.476,.824
32,2020,218,59,18,1,7,34,19,0,50,.271,.333,.459,.792
33,2021,401,98,23,1,10,46,38,1,106,.244,.315,.382,.697
34,2022,583,141,25,2,36,94,69,2,131,.242,.327,.477,.804
35,2023,361,94,30,0,20,63,41,2,75,.260,.337,.510,.847
36,2014,18,3,1,0,1,1,1,0,9,.167,.211,.389,.600
37,2015,9,1,0,0,0,0,3,0,4,.111,.333,.111,.444
38,2017,12,3,1,0,2,2,1,0,5,.250,.400,.833,1.233
39,2018,49,8,2,0,3,6,3,0,22,.163,.226,.388,.614
40,2019,529,137,26,1,29,73,67,6,155,.259,.348,.476,.824
41,2020,218,59,18,1,7,34,19,0,50,.271,.333,.459,.792
42,2021,401,98,23,1,10,46,38,1,106,.244,.315,.382,.697
43,2022,583,141,25,2,36,94,69,2,131,.242,.327,.477,.804
44,2023,361,94,30,0,20,63,41,2,75,.260,.337,.510,.847
45,2014,18,3,1,0,1,1,1,0,9,.167,.211,.389,.600
46,2015,9,1,0,0,0,0,3,0,4,.111,.333,.111,.444
47,2017,12,3,1,0,2,2,1,0,5,.250,.400,.833,1.233
48,2018,49,8,2,0,3,6,3,0,22,.163,.226,.388,.614
49,2019,529,137,26,1,29,73,67,6,155,.259,.348,.476,.824
50,2020,218,59,18,1,7,34,19,0,50,.271,.333,.459,.792
51,2021,401,98,23,1,10,46,38,1,106,.244,.315,.382,.697
52,2022,583,141,25,2,36,94,69,2,131,.242,.327,.477,.804
53,2023,361,94,30,0,20,63,41,2,75,.260,.337,.510,.847
54,2014,18,3,1,0,1,1,1,0,9,.167,.211,.389,.600
55,2015,9,1,0,0,0,0,3,0,4,.111,.333,.111,.444
56,2017,12,3,1,0,2,2,1,0,5,.250,.400,.833,1.233
57,2018,49,8,2,0,3,6,3,0,22,.163,.226,.388,.614
58,2019,529,137,26,1,29,73,67,6,155,.259,.348,.476,.824
59,2020,218,59,18,1,7,34,19,0,50,.271,.333,.459,.792
