,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2013,194,51,13,5,5,17,16,0,41,.263,.316,.459,.775
1,2014,436,136,27,6,24,76,37,6,101,.312,.364,.567,.931
2,2015,224,68,18,2,10,31,10,0,56,.304,.333,.536,.869
3,2016,510,125,36,3,24,70,33,6,134,.245,.293,.469,.762
4,2017,588,166,33,4,27,62,35,6,152,.282,.325,.490,.815
5,2018,504,151,35,7,13,55,21,4,80,.300,.330,.474,.804
6,2019,127,40,18,0,4,25,13,4,23,.315,.373,.551,.924
7,2019,133,39,10,2,8,34,3,0,33,.293,.307,.579,.886
8,2019,260,79,28,2,12,59,16,4,56,.304,.341,.565,.906
9,2020,194,50,5,1,7,17,15,1,35,.258,.311,.402,.713
10,2021,205,54,12,3,2,14,16,0,45,.263,.324,.380,.704
11,2021,131,37,6,2,4,15,9,1,23,.282,.329,.450,.779
12,2021,336,91,18,5,6,29,25,1,68,.271,.326,.408,.734
13,2022,281,75,17,1,6,36,12,1,48,.267,.300,.399,.699
14,2023,125,31,6,0,2,17,6,0,24,.248,.280,.344,.624
15,2013,194,51,13,5,5,17,16,0,41,.263,.316,.459,.775
16,2014,436,136,27,6,24,76,37,6,101,.312,.364,.567,.931
17,2015,224,68,18,2,10,31,10,0,56,.304,.333,.536,.869
18,2016,510,125,36,3,24,70,33,6,134,.245,.293,.469,.762
19,2017,588,166,33,4,27,62,35,6,152,.282,.325,.490,.815
20,2018,504,151,35,7,13,55,21,4,80,.300,.330,.474,.804
21,2019,127,40,18,0,4,25,13,4,23,.315,.373,.551,.924
22,2019,133,39,10,2,8,34,3,0,33,.293,.307,.579,.886
23,2019,260,79,28,2,12,59,16,4,56,.304,.341,.565,.906
24,2020,194,50,5,1,7,17,15,1,35,.258,.311,.402,.713
25,2021,205,54,12,3,2,14,16,0,45,.263,.324,.380,.704
26,2021,131,37,6,2,4,15,9,1,23,.282,.329,.450,.779
27,2021,336,91,18,5,6,29,25,1,68,.271,.326,.408,.734
28,2022,281,75,17,1,6,36,12,1,48,.267,.300,.399,.699
29,2023,125,31,6,0,2,17,6,0,24,.248,.280,.344,.624
30,2013,194,51,13,5,5,17,16,0,41,.263,.316,.459,.775
31,2014,436,136,27,6,24,76,37,6,101,.312,.364,.567,.931
32,2015,224,68,18,2,10,31,10,0,56,.304,.333,.536,.869
33,2016,510,125,36,3,24,70,33,6,134,.245,.293,.469,.762
34,2017,588,166,33,4,27,62,35,6,152,.282,.325,.490,.815
35,2018,504,151,35,7,13,55,21,4,80,.300,.330,.474,.804
36,2019,127,40,18,0,4,25,13,4,23,.315,.373,.551,.924
37,2019,133,39,10,2,8,34,3,0,33,.293,.307,.579,.886
38,2019,260,79,28,2,12,59,16,4,56,.304,.341,.565,.906
39,2020,194,50,5,1,7,17,15,1,35,.258,.311,.402,.713
40,2021,205,54,12,3,2,14,16,0,45,.263,.324,.380,.704
41,2021,131,37,6,2,4,15,9,1,23,.282,.329,.450,.779
42,2021,336,91,18,5,6,29,25,1,68,.271,.326,.408,.734
43,2022,281,75,17,1,6,36,12,1,48,.267,.300,.399,.699
44,2023,125,31,6,0,2,17,6,0,24,.248,.280,.344,.624
45,2013,194,51,13,5,5,17,16,0,41,.263,.316,.459,.775
46,2014,436,136,27,6,24,76,37,6,101,.312,.364,.567,.931
47,2015,224,68,18,2,10,31,10,0,56,.304,.333,.536,.869
48,2016,510,125,36,3,24,70,33,6,134,.245,.293,.469,.762
49,2017,588,166,33,4,27,62,35,6,152,.282,.325,.490,.815
50,2018,504,151,35,7,13,55,21,4,80,.300,.330,.474,.804
51,2019,127,40,18,0,4,25,13,4,23,.315,.373,.551,.924
52,2019,133,39,10,2,8,34,3,0,33,.293,.307,.579,.886
53,2019,260,79,28,2,12,59,16,4,56,.304,.341,.565,.906
54,2020,194,50,5,1,7,17,15,1,35,.258,.311,.402,.713
55,2021,205,54,12,3,2,14,16,0,45,.263,.324,.380,.704
56,2021,131,37,6,2,4,15,9,1,23,.282,.329,.450,.779
57,2021,336,91,18,5,6,29,25,1,68,.271,.326,.408,.734
58,2022,281,75,17,1,6,36,12,1,48,.267,.300,.399,.699
59,2023,125,31,6,0,2,17,6,0,24,.248,.280,.344,.624
60,2013,194,51,13,5,5,17,16,0,41,.263,.316,.459,.775
61,2014,436,136,27,6,24,76,37,6,101,.312,.364,.567,.931
62,2015,224,68,18,2,10,31,10,0,56,.304,.333,.536,.869
63,2016,510,125,36,3,24,70,33,6,134,.245,.293,.469,.762
64,2017,588,166,33,4,27,62,35,6,152,.282,.325,.490,.815
65,2018,504,151,35,7,13,55,21,4,80,.300,.330,.474,.804
66,2019,127,40,18,0,4,25,13,4,23,.315,.373,.551,.924
67,2019,133,39,10,2,8,34,3,0,33,.293,.307,.579,.886
68,2019,260,79,28,2,12,59,16,4,56,.304,.341,.565,.906
69,2020,194,50,5,1,7,17,15,1,35,.258,.311,.402,.713
70,2021,205,54,12,3,2,14,16,0,45,.263,.324,.380,.704
71,2021,131,37,6,2,4,15,9,1,23,.282,.329,.450,.779
72,2021,336,91,18,5,6,29,25,1,68,.271,.326,.408,.734
73,2022,281,75,17,1,6,36,12,1,48,.267,.300,.399,.699
74,2023,125,31,6,0,2,17,6,0,24,.248,.280,.344,.624
75,2013,194,51,13,5,5,17,16,0,41,.263,.316,.459,.775
76,2014,436,136,27,6,24,76,37,6,101,.312,.364,.567,.931
77,2015,224,68,18,2,10,31,10,0,56,.304,.333,.536,.869
78,2016,510,125,36,3,24,70,33,6,134,.245,.293,.469,.762
79,2017,588,166,33,4,27,62,35,6,152,.282,.325,.490,.815
80,2018,504,151,35,7,13,55,21,4,80,.300,.330,.474,.804
81,2019,127,40,18,0,4,25,13,4,23,.315,.373,.551,.924
82,2019,133,39,10,2,8,34,3,0,33,.293,.307,.579,.886
83,2019,260,79,28,2,12,59,16,4,56,.304,.341,.565,.906
84,2020,194,50,5,1,7,17,15,1,35,.258,.311,.402,.713
85,2021,205,54,12,3,2,14,16,0,45,.263,.324,.380,.704
86,2021,131,37,6,2,4,15,9,1,23,.282,.329,.450,.779
87,2021,336,91,18,5,6,29,25,1,68,.271,.326,.408,.734
88,2022,281,75,17,1,6,36,12,1,48,.267,.300,.399,.699
89,2023,125,31,6,0,2,17,6,0,24,.248,.280,.344,.624
90,2013,194,51,13,5,5,17,16,0,41,.263,.316,.459,.775
91,2014,436,136,27,6,24,76,37,6,101,.312,.364,.567,.931
92,2015,224,68,18,2,10,31,10,0,56,.304,.333,.536,.869
93,2016,510,125,36,3,24,70,33,6,134,.245,.293,.469,.762
94,2017,588,166,33,4,27,62,35,6,152,.282,.325,.490,.815
95,2018,504,151,35,7,13,55,21,4,80,.300,.330,.474,.804
96,2019,127,40,18,0,4,25,13,4,23,.315,.373,.551,.924
97,2019,133,39,10,2,8,34,3,0,33,.293,.307,.579,.886
98,2019,260,79,28,2,12,59,16,4,56,.304,.341,.565,.906
99,2020,194,50,5,1,7,17,15,1,35,.258,.311,.402,.713
