,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2011,60,15,2,0,0,4,1,0,12,.250,.262,.283,.545
1,2012,229,68,12,4,2,22,13,4,42,.297,.332,.410,.742
2,2013,404,113,21,3,2,28,19,2,67,.280,.311,.361,.672
3,2014,494,132,15,5,5,42,33,7,97,.267,.315,.348,.663
4,2015,564,170,21,5,6,61,50,4,107,.301,.358,.388,.746
5,2016,552,192,32,8,11,66,66,2,80,.348,.416,.495,.911
6,2017,609,189,28,4,8,64,59,1,90,.310,.374,.409,.783
7,2018,533,147,32,2,15,62,37,0,82,.276,.321,.428,.749
8,2019,602,197,33,2,26,102,46,0,90,.327,.375,.518,.893
9,2020,195,71,10,2,10,27,18,0,21,.364,.421,.590,1.011
10,2021,597,160,24,1,10,57,73,2,94,.268,.349,.362,.711
11,2022,467,122,18,0,12,46,67,0,71,.261,.357,.377,.734
12,2023,309,72,16,2,8,28,27,2,76,.233,.297,.375,.672
13,2011,60,15,2,0,0,4,1,0,12,.250,.262,.283,.545
14,2012,229,68,12,4,2,22,13,4,42,.297,.332,.410,.742
15,2013,404,113,21,3,2,28,19,2,67,.280,.311,.361,.672
16,2014,494,132,15,5,5,42,33,7,97,.267,.315,.348,.663
17,2015,564,170,21,5,6,61,50,4,107,.301,.358,.388,.746
18,2016,552,192,32,8,11,66,66,2,80,.348,.416,.495,.911
19,2017,609,189,28,4,8,64,59,1,90,.310,.374,.409,.783
20,2018,533,147,32,2,15,62,37,0,82,.276,.321,.428,.749
21,2019,602,197,33,2,26,102,46,0,90,.327,.375,.518,.893
22,2020,195,71,10,2,10,27,18,0,21,.364,.421,.590,1.011
23,2021,597,160,24,1,10,57,73,2,94,.268,.349,.362,.711
24,2022,467,122,18,0,12,46,67,0,71,.261,.357,.377,.734
25,2023,309,72,16,2,8,28,27,2,76,.233,.297,.375,.672
26,2011,60,15,2,0,0,4,1,0,12,.250,.262,.283,.545
27,2012,229,68,12,4,2,22,13,4,42,.297,.332,.410,.742
28,2013,404,113,21,3,2,28,19,2,67,.280,.311,.361,.672
29,2014,494,132,15,5,5,42,33,7,97,.267,.315,.348,.663
30,2015,564,170,21,5,6,61,50,4,107,.301,.358,.388,.746
31,2016,552,192,32,8,11,66,66,2,80,.348,.416,.495,.911
32,2017,609,189,28,4,8,64,59,1,90,.310,.374,.409,.783
33,2018,533,147,32,2,15,62,37,0,82,.276,.321,.428,.749
34,2019,602,197,33,2,26,102,46,0,90,.327,.375,.518,.893
35,2020,195,71,10,2,10,27,18,0,21,.364,.421,.590,1.011
36,2021,597,160,24,1,10,57,73,2,94,.268,.349,.362,.711
37,2022,467,122,18,0,12,46,67,0,71,.261,.357,.377,.734
38,2023,309,72,16,2,8,28,27,2,76,.233,.297,.375,.672
39,2011,60,15,2,0,0,4,1,0,12,.250,.262,.283,.545
40,2012,229,68,12,4,2,22,13,4,42,.297,.332,.410,.742
41,2013,404,113,21,3,2,28,19,2,67,.280,.311,.361,.672
42,2014,494,132,15,5,5,42,33,7,97,.267,.315,.348,.663
43,2015,564,170,21,5,6,61,50,4,107,.301,.358,.388,.746
44,2016,552,192,32,8,11,66,66,2,80,.348,.416,.495,.911
45,2017,609,189,28,4,8,64,59,1,90,.310,.374,.409,.783
46,2018,533,147,32,2,15,62,37,0,82,.276,.321,.428,.749
47,2019,602,197,33,2,26,102,46,0,90,.327,.375,.518,.893
48,2020,195,71,10,2,10,27,18,0,21,.364,.421,.590,1.011
49,2021,597,160,24,1,10,57,73,2,94,.268,.349,.362,.711
50,2022,467,122,18,0,12,46,67,0,71,.261,.357,.377,.734
51,2023,309,72,16,2,8,28,27,2,76,.233,.297,.375,.672
52,2011,60,15,2,0,0,4,1,0,12,.250,.262,.283,.545
53,2012,229,68,12,4,2,22,13,4,42,.297,.332,.410,.742
54,2013,404,113,21,3,2,28,19,2,67,.280,.311,.361,.672
55,2014,494,132,15,5,5,42,33,7,97,.267,.315,.348,.663
56,2015,564,170,21,5,6,61,50,4,107,.301,.358,.388,.746
57,2016,552,192,32,8,11,66,66,2,80,.348,.416,.495,.911
58,2017,609,189,28,4,8,64,59,1,90,.310,.374,.409,.783
59,2018,533,147,32,2,15,62,37,0,82,.276,.321,.428,.749
60,2019,602,197,33,2,26,102,46,0,90,.327,.375,.518,.893
61,2020,195,71,10,2,10,27,18,0,21,.364,.421,.590,1.011
62,2021,597,160,24,1,10,57,73,2,94,.268,.349,.362,.711
63,2022,467,122,18,0,12,46,67,0,71,.261,.357,.377,.734
64,2023,309,72,16,2,8,28,27,2,76,.233,.297,.375,.672
65,2011,60,15,2,0,0,4,1,0,12,.250,.262,.283,.545
66,2012,229,68,12,4,2,22,13,4,42,.297,.332,.410,.742
67,2013,404,113,21,3,2,28,19,2,67,.280,.311,.361,.672
68,2014,494,132,15,5,5,42,33,7,97,.267,.315,.348,.663
69,2015,564,170,21,5,6,61,50,4,107,.301,.358,.388,.746
70,2016,552,192,32,8,11,66,66,2,80,.348,.416,.495,.911
71,2017,609,189,28,4,8,64,59,1,90,.310,.374,.409,.783
72,2018,533,147,32,2,15,62,37,0,82,.276,.321,.428,.749
73,2019,602,197,33,2,26,102,46,0,90,.327,.375,.518,.893
74,2020,195,71,10,2,10,27,18,0,21,.364,.421,.590,1.011
75,2021,597,160,24,1,10,57,73,2,94,.268,.349,.362,.711
76,2022,467,122,18,0,12,46,67,0,71,.261,.357,.377,.734
77,2023,309,72,16,2,8,28,27,2,76,.233,.297,.375,.672
78,2011,60,15,2,0,0,4,1,0,12,.250,.262,.283,.545
