,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
1,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
2,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
3,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
4,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
5,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
6,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
7,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
8,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
9,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
10,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
11,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
12,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
13,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
14,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
15,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
16,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
17,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
18,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
19,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
20,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
21,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
22,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
23,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
24,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
25,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
26,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
27,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
28,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
29,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
30,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
31,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
32,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
33,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
34,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
35,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
36,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
37,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
38,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
39,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
40,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
41,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
42,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
43,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
44,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
45,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
46,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
47,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
48,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
49,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
50,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
51,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
52,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
53,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
54,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
55,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
56,2022,21,7,0,0,1,5,6,0,7,.333,.500,.476,.976
57,2023,24,4,1,0,0,0,3,0,7,.167,.286,.208,.494
