,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2016,12,1,0,0,0,0,1,0,6,.083,.154,.083,.237
1,2017,28,6,1,0,0,2,3,0,9,.214,.290,.250,.540
2,2018,87,18,2,0,4,13,13,0,26,.207,.324,.368,.692
3,2019,462,96,17,0,30,76,92,2,149,.208,.341,.439,.780
4,2020,53,5,1,0,2,4,11,1,13,.094,.250,.226,.476
5,2020,4,0,0,0,0,0,1,0,2,.000,.200,.000,.200
6,2020,58,19,2,0,4,12,8,0,18,.328,.418,.569,.987
7,2020,115,24,3,0,6,16,20,1,33,.209,.331,.391,.722
8,2021,215,47,8,0,9,24,43,1,57,.219,.349,.381,.730
9,2022,237,54,10,1,12,34,40,1,67,.228,.338,.430,.768
10,2022,149,38,9,0,6,25,33,1,47,.255,.393,.436,.829
11,2022,386,92,19,1,18,59,73,2,114,.238,.360,.433,.793
12,2023,183,41,7,0,6,28,29,1,52,.224,.330,.361,.691
13,2016,12,1,0,0,0,0,1,0,6,.083,.154,.083,.237
14,2017,28,6,1,0,0,2,3,0,9,.214,.290,.250,.540
15,2018,87,18,2,0,4,13,13,0,26,.207,.324,.368,.692
16,2019,462,96,17,0,30,76,92,2,149,.208,.341,.439,.780
17,2020,53,5,1,0,2,4,11,1,13,.094,.250,.226,.476
18,2020,4,0,0,0,0,0,1,0,2,.000,.200,.000,.200
19,2020,58,19,2,0,4,12,8,0,18,.328,.418,.569,.987
20,2020,115,24,3,0,6,16,20,1,33,.209,.331,.391,.722
21,2021,215,47,8,0,9,24,43,1,57,.219,.349,.381,.730
22,2022,237,54,10,1,12,34,40,1,67,.228,.338,.430,.768
23,2022,149,38,9,0,6,25,33,1,47,.255,.393,.436,.829
24,2022,386,92,19,1,18,59,73,2,114,.238,.360,.433,.793
25,2023,183,41,7,0,6,28,29,1,52,.224,.330,.361,.691
26,2016,12,1,0,0,0,0,1,0,6,.083,.154,.083,.237
27,2017,28,6,1,0,0,2,3,0,9,.214,.290,.250,.540
28,2018,87,18,2,0,4,13,13,0,26,.207,.324,.368,.692
29,2019,462,96,17,0,30,76,92,2,149,.208,.341,.439,.780
30,2020,53,5,1,0,2,4,11,1,13,.094,.250,.226,.476
31,2020,4,0,0,0,0,0,1,0,2,.000,.200,.000,.200
32,2020,58,19,2,0,4,12,8,0,18,.328,.418,.569,.987
33,2020,115,24,3,0,6,16,20,1,33,.209,.331,.391,.722
34,2021,215,47,8,0,9,24,43,1,57,.219,.349,.381,.730
35,2022,237,54,10,1,12,34,40,1,67,.228,.338,.430,.768
36,2022,149,38,9,0,6,25,33,1,47,.255,.393,.436,.829
