,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,34,6,1,0,1,3,2,0,14,.176,.222,.294,.516
1,2020,62,17,1,1,2,7,2,0,11,.274,.292,.419,.711
2,2020,96,23,2,1,3,10,4,0,25,.240,.267,.375,.642
3,2021,101,24,2,0,5,12,5,0,19,.238,.291,.406,.697
4,2022,161,46,8,0,4,15,10,0,36,.286,.333,.410,.743
5,2023,243,61,14,4,6,19,14,1,45,.251,.306,.416,.722
6,2020,34,6,1,0,1,3,2,0,14,.176,.222,.294,.516
7,2020,62,17,1,1,2,7,2,0,11,.274,.292,.419,.711
8,2020,96,23,2,1,3,10,4,0,25,.240,.267,.375,.642
9,2021,101,24,2,0,5,12,5,0,19,.238,.291,.406,.697
10,2022,161,46,8,0,4,15,10,0,36,.286,.333,.410,.743
11,2023,243,61,14,4,6,19,14,1,45,.251,.306,.416,.722
12,2020,34,6,1,0,1,3,2,0,14,.176,.222,.294,.516
13,2020,62,17,1,1,2,7,2,0,11,.274,.292,.419,.711
14,2020,96,23,2,1,3,10,4,0,25,.240,.267,.375,.642
15,2021,101,24,2,0,5,12,5,0,19,.238,.291,.406,.697
16,2022,161,46,8,0,4,15,10,0,36,.286,.333,.410,.743
17,2023,243,61,14,4,6,19,14,1,45,.251,.306,.416,.722
18,2020,34,6,1,0,1,3,2,0,14,.176,.222,.294,.516
19,2020,62,17,1,1,2,7,2,0,11,.274,.292,.419,.711
20,2020,96,23,2,1,3,10,4,0,25,.240,.267,.375,.642
21,2021,101,24,2,0,5,12,5,0,19,.238,.291,.406,.697
22,2022,161,46,8,0,4,15,10,0,36,.286,.333,.410,.743
23,2023,243,61,14,4,6,19,14,1,45,.251,.306,.416,.722
24,2020,34,6,1,0,1,3,2,0,14,.176,.222,.294,.516
25,2020,62,17,1,1,2,7,2,0,11,.274,.292,.419,.711
26,2020,96,23,2,1,3,10,4,0,25,.240,.267,.375,.642
27,2021,101,24,2,0,5,12,5,0,19,.238,.291,.406,.697
28,2022,161,46,8,0,4,15,10,0,36,.286,.333,.410,.743
29,2023,243,61,14,4,6,19,14,1,45,.251,.306,.416,.722
30,2020,34,6,1,0,1,3,2,0,14,.176,.222,.294,.516
31,2020,62,17,1,1,2,7,2,0,11,.274,.292,.419,.711
32,2020,96,23,2,1,3,10,4,0,25,.240,.267,.375,.642
33,2021,101,24,2,0,5,12,5,0,19,.238,.291,.406,.697
34,2022,161,46,8,0,4,15,10,0,36,.286,.333,.410,.743
35,2023,243,61,14,4,6,19,14,1,45,.251,.306,.416,.722
36,2020,34,6,1,0,1,3,2,0,14,.176,.222,.294,.516
37,2020,62,17,1,1,2,7,2,0,11,.274,.292,.419,.711
38,2020,96,23,2,1,3,10,4,0,25,.240,.267,.375,.642
39,2021,101,24,2,0,5,12,5,0,19,.238,.291,.406,.697
40,2022,161,46,8,0,4,15,10,0,36,.286,.333,.410,.743
41,2023,243,61,14,4,6,19,14,1,45,.251,.306,.416,.722
42,2020,34,6,1,0,1,3,2,0,14,.176,.222,.294,.516
43,2020,62,17,1,1,2,7,2,0,11,.274,.292,.419,.711
44,2020,96,23,2,1,3,10,4,0,25,.240,.267,.375,.642
45,2021,101,24,2,0,5,12,5,0,19,.238,.291,.406,.697
46,2022,161,46,8,0,4,15,10,0,36,.286,.333,.410,.743
47,2023,243,61,14,4,6,19,14,1,45,.251,.306,.416,.722
48,2020,34,6,1,0,1,3,2,0,14,.176,.222,.294,.516
