,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
1,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
2,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
3,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
4,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
5,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
6,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
7,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
8,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
9,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
10,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
11,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
12,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
13,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
14,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
15,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
16,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
17,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
18,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
19,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
20,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
21,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
22,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
23,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
24,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
25,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
26,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
27,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
28,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
29,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
30,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
31,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
32,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
33,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
34,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
35,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
36,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
37,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
38,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
39,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
40,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
41,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
42,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
43,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
44,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
45,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
46,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
47,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
48,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
49,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
50,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
51,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
52,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
53,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
54,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
55,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
56,2022,33,7,1,0,1,2,2,0,9,.212,.257,.333,.590
57,2023,339,88,22,3,9,46,13,0,97,.260,.292,.422,.714
