,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2019,334,106,13,6,22,53,30,1,110,.317,.379,.590,.969
1,2020,224,62,11,2,17,45,27,1,61,.277,.366,.571,.937
2,2021,478,135,31,0,42,97,62,6,153,.282,.364,.611,.975
3,2023,335,95,23,1,17,50,28,0,72,.284,.342,.510,.852
4,2019,334,106,13,6,22,53,30,1,110,.317,.379,.590,.969
5,2020,224,62,11,2,17,45,27,1,61,.277,.366,.571,.937
6,2021,478,135,31,0,42,97,62,6,153,.282,.364,.611,.975
7,2023,335,95,23,1,17,50,28,0,72,.284,.342,.510,.852
8,2019,334,106,13,6,22,53,30,1,110,.317,.379,.590,.969
9,2020,224,62,11,2,17,45,27,1,61,.277,.366,.571,.937
10,2021,478,135,31,0,42,97,62,6,153,.282,.364,.611,.975
11,2023,335,95,23,1,17,50,28,0,72,.284,.342,.510,.852
12,2019,334,106,13,6,22,53,30,1,110,.317,.379,.590,.969
13,2020,224,62,11,2,17,45,27,1,61,.277,.366,.571,.937
14,2021,478,135,31,0,42,97,62,6,153,.282,.364,.611,.975
15,2023,335,95,23,1,17,50,28,0,72,.284,.342,.510,.852
16,2019,334,106,13,6,22,53,30,1,110,.317,.379,.590,.969
17,2020,224,62,11,2,17,45,27,1,61,.277,.366,.571,.937
18,2021,478,135,31,0,42,97,62,6,153,.282,.364,.611,.975
19,2023,335,95,23,1,17,50,28,0,72,.284,.342,.510,.852
20,2019,334,106,13,6,22,53,30,1,110,.317,.379,.590,.969
21,2020,224,62,11,2,17,45,27,1,61,.277,.366,.571,.937
22,2021,478,135,31,0,42,97,62,6,153,.282,.364,.611,.975
23,2023,335,95,23,1,17,50,28,0,72,.284,.342,.510,.852
24,2019,334,106,13,6,22,53,30,1,110,.317,.379,.590,.969
25,2020,224,62,11,2,17,45,27,1,61,.277,.366,.571,.937
26,2021,478,135,31,0,42,97,62,6,153,.282,.364,.611,.975
