,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
1,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
2,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
3,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
4,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
5,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
6,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
7,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
8,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
9,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
10,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
11,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
12,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
13,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
14,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
15,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
16,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
17,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
18,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
19,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
20,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
21,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
22,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
23,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
24,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
25,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
26,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
27,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
28,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
29,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
30,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
31,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
32,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
33,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
34,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
35,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
36,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
37,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
38,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
39,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
40,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
41,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
42,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
43,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
44,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
45,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
46,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
47,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
48,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
49,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
50,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
51,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
52,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
53,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
54,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
55,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
56,2022,326,66,11,0,19,38,41,1,114,.202,.298,.411,.709
57,2023,264,59,12,0,20,51,47,0,106,.223,.345,.496,.841
