,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
1,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
2,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
3,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
4,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
5,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
6,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
7,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
8,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
9,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
10,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
11,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
12,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
13,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
14,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
15,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
16,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
17,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
18,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
19,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
20,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
21,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
22,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
23,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
24,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
25,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
26,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
27,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
28,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
29,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
30,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
31,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
32,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
33,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
34,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
35,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
36,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
37,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
38,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
39,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
40,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
41,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
42,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
43,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
44,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
45,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
46,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
47,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
48,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
49,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
50,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
51,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
52,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
53,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
54,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
55,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
56,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
57,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
58,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
59,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
60,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
61,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
62,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
63,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
64,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
65,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
66,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
67,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
68,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
69,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
70,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
71,2023,276,59,15,1,21,47,17,0,98,.214,.270,.504,.774
72,2021,38,10,3,1,1,3,4,0,15,.263,.333,.474,.807
73,2022,168,42,9,1,8,26,10,1,56,.250,.302,.458,.760
