,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
1,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
2,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
3,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
4,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
5,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
6,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
7,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
8,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
9,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
10,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
11,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
12,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
13,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
14,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
15,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
16,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
17,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
18,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
19,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
20,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
21,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
22,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
23,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
24,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
25,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
26,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
27,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
28,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
29,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
30,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
31,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
32,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
33,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
34,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
35,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
36,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
37,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
38,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
39,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
40,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
41,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
42,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
43,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
44,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
45,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
46,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
47,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
48,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
49,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
50,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
51,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
52,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
53,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
54,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
55,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
56,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
57,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
58,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
59,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
60,2020,172,49,15,3,4,20,18,0,30,.285,.354,.477,.831
61,2021,567,151,33,7,21,71,55,6,90,.266,.340,.460,.800
62,2022,587,140,30,4,17,88,70,3,131,.239,.332,.390,.722
63,2023,351,74,16,6,8,38,42,2,79,.211,.305,.359,.664
