,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2014,126,29,4,1,4,11,6,0,37,.230,.263,.373,.636
1,2015,350,92,15,5,6,34,36,3,97,.263,.331,.386,.717
2,2016,523,130,31,9,29,91,64,5,154,.249,.332,.509,.841
3,2017,536,133,30,4,30,105,87,13,152,.248,.357,.487,.844
4,2018,207,46,8,0,6,31,26,0,65,.222,.307,.348,.655
5,2019,187,36,8,2,6,30,32,1,55,.193,.323,.353,.676
6,2020,43,5,1,0,0,1,6,0,17,.116,.240,.140,.380
7,2020,45,12,4,0,3,9,2,0,8,.267,.327,.556,.883
8,2020,88,17,5,0,3,10,8,0,25,.193,.283,.352,.635
9,2021,113,24,2,0,6,13,17,0,38,.212,.321,.389,.710
10,2021,31,4,2,0,1,6,5,0,13,.129,.256,.290,.546
11,2021,144,28,4,0,7,19,22,0,51,.194,.306,.368,.674
12,2022,67,16,5,1,2,4,8,0,24,.239,.338,.433,.771
13,2022,30,5,1,0,1,2,3,0,14,.167,.265,.300,.565
14,2022,97,21,6,1,3,6,11,0,38,.216,.315,.392,.707
15,2023,51,11,1,0,2,5,3,0,15,.216,.259,.353,.612
16,2014,126,29,4,1,4,11,6,0,37,.230,.263,.373,.636
17,2015,350,92,15,5,6,34,36,3,97,.263,.331,.386,.717
18,2016,523,130,31,9,29,91,64,5,154,.249,.332,.509,.841
19,2017,536,133,30,4,30,105,87,13,152,.248,.357,.487,.844
20,2018,207,46,8,0,6,31,26,0,65,.222,.307,.348,.655
21,2019,187,36,8,2,6,30,32,1,55,.193,.323,.353,.676
22,2020,43,5,1,0,0,1,6,0,17,.116,.240,.140,.380
23,2020,45,12,4,0,3,9,2,0,8,.267,.327,.556,.883
24,2020,88,17,5,0,3,10,8,0,25,.193,.283,.352,.635
25,2021,113,24,2,0,6,13,17,0,38,.212,.321,.389,.710
26,2021,31,4,2,0,1,6,5,0,13,.129,.256,.290,.546
27,2021,144,28,4,0,7,19,22,0,51,.194,.306,.368,.674
28,2022,67,16,5,1,2,4,8,0,24,.239,.338,.433,.771
29,2022,30,5,1,0,1,2,3,0,14,.167,.265,.300,.565
30,2022,97,21,6,1,3,6,11,0,38,.216,.315,.392,.707
31,2023,51,11,1,0,2,5,3,0,15,.216,.259,.353,.612
32,2014,126,29,4,1,4,11,6,0,37,.230,.263,.373,.636
33,2015,350,92,15,5,6,34,36,3,97,.263,.331,.386,.717
34,2016,523,130,31,9,29,91,64,5,154,.249,.332,.509,.841
35,2017,536,133,30,4,30,105,87,13,152,.248,.357,.487,.844
36,2018,207,46,8,0,6,31,26,0,65,.222,.307,.348,.655
37,2019,187,36,8,2,6,30,32,1,55,.193,.323,.353,.676
38,2020,43,5,1,0,0,1,6,0,17,.116,.240,.140,.380
39,2020,45,12,4,0,3,9,2,0,8,.267,.327,.556,.883
40,2020,88,17,5,0,3,10,8,0,25,.193,.283,.352,.635
