,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2017,121,36,7,0,7,15,15,0,24,.298,.375,.529,.904
1,2018,281,84,16,0,7,43,49,4,46,.299,.405,.431,.836
2,2019,338,91,17,2,16,38,38,2,60,.269,.357,.473,.830
3,2020,149,38,7,0,12,23,28,0,46,.255,.388,.544,.932
4,2021,423,129,32,1,24,71,53,1,75,.305,.394,.556,.950
5,2022,456,100,15,0,14,53,84,1,103,.219,.344,.344,.688
6,2023,165,32,5,0,1,23,26,0,51,.194,.316,.242,.558
7,2017,121,36,7,0,7,15,15,0,24,.298,.375,.529,.904
8,2018,281,84,16,0,7,43,49,4,46,.299,.405,.431,.836
9,2019,338,91,17,2,16,38,38,2,60,.269,.357,.473,.830
10,2020,149,38,7,0,12,23,28,0,46,.255,.388,.544,.932
11,2021,423,129,32,1,24,71,53,1,75,.305,.394,.556,.950
12,2022,456,100,15,0,14,53,84,1,103,.219,.344,.344,.688
13,2023,165,32,5,0,1,23,26,0,51,.194,.316,.242,.558
14,2017,121,36,7,0,7,15,15,0,24,.298,.375,.529,.904
15,2018,281,84,16,0,7,43,49,4,46,.299,.405,.431,.836
16,2019,338,91,17,2,16,38,38,2,60,.269,.357,.473,.830
17,2020,149,38,7,0,12,23,28,0,46,.255,.388,.544,.932
18,2021,423,129,32,1,24,71,53,1,75,.305,.394,.556,.950
19,2022,456,100,15,0,14,53,84,1,103,.219,.344,.344,.688
20,2023,165,32,5,0,1,23,26,0,51,.194,.316,.242,.558
21,2017,121,36,7,0,7,15,15,0,24,.298,.375,.529,.904
22,2018,281,84,16,0,7,43,49,4,46,.299,.405,.431,.836
23,2019,338,91,17,2,16,38,38,2,60,.269,.357,.473,.830
24,2020,149,38,7,0,12,23,28,0,46,.255,.388,.544,.932
25,2021,423,129,32,1,24,71,53,1,75,.305,.394,.556,.950
26,2022,456,100,15,0,14,53,84,1,103,.219,.344,.344,.688
27,2023,165,32,5,0,1,23,26,0,51,.194,.316,.242,.558
28,2017,121,36,7,0,7,15,15,0,24,.298,.375,.529,.904
29,2018,281,84,16,0,7,43,49,4,46,.299,.405,.431,.836
30,2019,338,91,17,2,16,38,38,2,60,.269,.357,.473,.830
31,2020,149,38,7,0,12,23,28,0,46,.255,.388,.544,.932
32,2021,423,129,32,1,24,71,53,1,75,.305,.394,.556,.950
33,2022,456,100,15,0,14,53,84,1,103,.219,.344,.344,.688
34,2023,165,32,5,0,1,23,26,0,51,.194,.316,.242,.558
35,2017,121,36,7,0,7,15,15,0,24,.298,.375,.529,.904
36,2018,281,84,16,0,7,43,49,4,46,.299,.405,.431,.836
37,2019,338,91,17,2,16,38,38,2,60,.269,.357,.473,.830
38,2020,149,38,7,0,12,23,28,0,46,.255,.388,.544,.932
39,2021,423,129,32,1,24,71,53,1,75,.305,.394,.556,.950
40,2022,456,100,15,0,14,53,84,1,103,.219,.344,.344,.688
41,2023,165,32,5,0,1,23,26,0,51,.194,.316,.242,.558
42,2017,121,36,7,0,7,15,15,0,24,.298,.375,.529,.904
43,2018,281,84,16,0,7,43,49,4,46,.299,.405,.431,.836
44,2019,338,91,17,2,16,38,38,2,60,.269,.357,.473,.830
45,2020,149,38,7,0,12,23,28,0,46,.255,.388,.544,.932
46,2021,423,129,32,1,24,71,53,1,75,.305,.394,.556,.950
47,2022,456,100,15,0,14,53,84,1,103,.219,.344,.344,.688
48,2023,165,32,5,0,1,23,26,0,51,.194,.316,.242,.558
49,2017,121,36,7,0,7,15,15,0,24,.298,.375,.529,.904
50,2018,281,84,16,0,7,43,49,4,46,.299,.405,.431,.836
51,2019,338,91,17,2,16,38,38,2,60,.269,.357,.473,.830
52,2020,149,38,7,0,12,23,28,0,46,.255,.388,.544,.932
53,2021,423,129,32,1,24,71,53,1,75,.305,.394,.556,.950
54,2022,456,100,15,0,14,53,84,1,103,.219,.344,.344,.688
