,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
1,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
2,2022,313,67,14,3,13,36,26,0,92,.214,.280,.403,.683
3,2023,209,54,16,0,10,35,19,1,61,.258,.323,.478,.801
4,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
5,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
6,2022,313,67,14,3,13,36,26,0,92,.214,.280,.403,.683
7,2023,209,54,16,0,10,35,19,1,61,.258,.323,.478,.801
8,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
9,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
10,2022,313,67,14,3,13,36,26,0,92,.214,.280,.403,.683
11,2023,209,54,16,0,10,35,19,1,61,.258,.323,.478,.801
12,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
13,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
14,2022,313,67,14,3,13,36,26,0,92,.214,.280,.403,.683
15,2023,209,54,16,0,10,35,19,1,61,.258,.323,.478,.801
16,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
17,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
18,2022,313,67,14,3,13,36,26,0,92,.214,.280,.403,.683
19,2023,209,54,16,0,10,35,19,1,61,.258,.323,.478,.801
20,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
21,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
22,2022,313,67,14,3,13,36,26,0,92,.214,.280,.403,.683
23,2023,209,54,16,0,10,35,19,1,61,.258,.323,.478,.801
24,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
25,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
26,2022,313,67,14,3,13,36,26,0,92,.214,.280,.403,.683
27,2023,209,54,16,0,10,35,19,1,61,.258,.323,.478,.801
28,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
29,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
30,2022,313,67,14,3,13,36,26,0,92,.214,.280,.403,.683
31,2023,209,54,16,0,10,35,19,1,61,.258,.323,.478,.801
32,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
33,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
34,2022,313,67,14,3,13,36,26,0,92,.214,.280,.403,.683
35,2023,209,54,16,0,10,35,19,1,61,.258,.323,.478,.801
36,2020,25,1,1,0,0,2,4,0,11,.040,.172,.080,.252
37,2021,227,57,8,2,14,36,20,3,78,.251,.319,.489,.808
