,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
1,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
2,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
3,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
4,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
5,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
6,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
7,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
8,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
9,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
10,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
11,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
12,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
13,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
14,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
15,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
16,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
17,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
18,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
19,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
20,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
21,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
22,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
23,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
24,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
25,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
26,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
27,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
28,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
29,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
30,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
31,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
32,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
33,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
34,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
35,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
36,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
37,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
38,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
39,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
40,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
41,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
42,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
43,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
44,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
45,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
46,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
47,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
48,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
49,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
50,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
51,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
52,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
53,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
54,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
55,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
56,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
57,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
58,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
59,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
60,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
61,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
62,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
63,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
64,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
65,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
66,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
67,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
68,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
69,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
70,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
71,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
72,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
73,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
74,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
75,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
76,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
77,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
78,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
79,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
80,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
81,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
82,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
83,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
84,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
85,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
86,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
87,2023,78,18,5,0,0,4,2,0,21,.231,.286,.295,.581
88,2020,103,24,5,2,0,7,3,0,41,.233,.288,.320,.608
89,2021,6,2,0,0,0,1,0,0,2,.333,.333,.333,.666
90,2022,261,56,6,0,11,25,26,0,112,.215,.296,.364,.660
