,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
1,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
2,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
3,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
4,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
5,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
6,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
7,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
8,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
9,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
10,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
11,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
12,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
13,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
14,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
15,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
16,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
17,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
18,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
19,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
20,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
21,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
22,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
23,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
24,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
25,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
26,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
27,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
28,2023,33,7,1,0,0,4,0,0,9,.212,.206,.242,.448
