,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
1,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
2,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
3,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
4,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
5,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
6,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
7,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
8,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
9,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
10,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
11,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
12,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
13,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
14,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
15,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
16,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
17,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
18,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
19,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
20,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
21,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
22,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
23,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
24,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
25,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
26,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
27,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
28,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
29,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
30,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
31,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
32,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
33,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
34,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
35,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
36,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
37,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
38,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
39,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
40,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
41,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
42,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
43,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
44,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
45,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
46,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
47,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
48,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
49,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
50,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
51,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
52,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
53,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
54,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
55,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
56,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
57,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
58,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
59,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
60,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
61,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
62,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
63,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
64,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
65,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
66,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
67,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
68,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
69,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
70,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
71,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
72,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
73,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
74,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
75,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
76,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
77,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
78,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
79,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
80,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
81,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
82,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
83,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
84,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
85,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
86,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
87,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
88,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
89,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
90,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
91,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
92,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
93,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
94,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
95,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
96,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
97,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
98,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
99,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
100,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
101,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
102,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
103,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
104,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
105,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
106,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
107,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
108,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
109,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
110,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
111,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
112,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
113,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
114,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
115,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
116,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
117,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
118,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
119,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
120,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
121,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
122,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
123,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
124,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
125,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
126,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
127,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
128,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
129,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
130,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
131,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
132,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
133,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
134,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
135,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
136,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
137,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
138,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
139,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
140,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
141,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
142,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
143,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
144,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
145,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
146,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
147,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
148,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
149,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
150,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
151,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
152,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
153,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
154,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
155,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
156,2020,209,54,8,0,4,19,13,0,35,.258,.304,.354,.658
157,2021,588,158,35,2,33,98,45,0,118,.269,.323,.503,.826
158,2022,375,88,16,0,16,56,64,1,95,.235,.346,.405,.751
159,2023,120,30,9,0,5,16,7,0,29,.250,.291,.450,.741
160,2014,6,2,1,1,0,3,2,0,2,.333,.500,.833,1.333
161,2015,10,3,0,0,0,1,2,0,1,.300,.417,.300,.717
162,2016,245,69,15,4,4,27,17,0,46,.282,.332,.424,.756
163,2017,488,125,30,3,13,74,41,1,78,.256,.313,.410,.723
164,2018,302,87,18,3,6,42,25,0,62,.288,.345,.427,.772
165,2019,631,186,40,7,22,79,60,2,116,.295,.356,.485,.841
