,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
1,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
2,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
3,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
4,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
5,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
6,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
7,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
8,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
9,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
10,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
11,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
12,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
13,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
14,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
15,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
16,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
17,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
18,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
19,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
20,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
21,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
22,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
23,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
24,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
25,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
26,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
27,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
28,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
29,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
30,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
31,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
32,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
33,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
34,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
35,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
36,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
37,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
38,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
39,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
40,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
41,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
42,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
43,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
44,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
45,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
46,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
47,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
48,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
49,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
50,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
51,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
52,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
53,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
54,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
55,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
56,2022,213,42,5,0,2,16,28,0,50,.197,.307,.249,.556
57,2023,112,23,4,0,3,6,15,0,38,.205,.341,.321,.662
