,Season,ab,h,2b,3b,hr,rbi,bb,ibb,so,avg,obp,slg,ops
0,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
1,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
2,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
3,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
4,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
5,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
6,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
7,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
8,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
9,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
10,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
11,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
12,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
13,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
14,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
15,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
16,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
17,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
18,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
19,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
20,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
21,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
22,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
23,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
24,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
25,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
26,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
27,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
28,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
29,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
30,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
31,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
32,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
33,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
34,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
35,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
36,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
37,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
38,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
39,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
40,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
41,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
42,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
43,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
44,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
45,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
46,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
47,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
48,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
49,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
50,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
51,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
52,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
53,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
54,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
55,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
56,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
57,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
58,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
59,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
60,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
61,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
62,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
63,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
64,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
65,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
66,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
67,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
68,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
69,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
70,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
71,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
72,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
73,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
74,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
75,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
76,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
77,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
78,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
79,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
80,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
81,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
82,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
83,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
84,2021,35,7,0,0,0,4,3,0,11,.200,.293,.200,.493
85,2022,47,10,2,0,0,2,1,0,15,.213,.245,.255,.500
86,2023,105,24,7,1,1,13,4,0,16,.229,.264,.343,.607
